"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.60000000000E+001,  0.35000000000E+007,  0.15000000000E+002,  0.39966308359E+000,  0.60033691641E+000
  0.36000000000E+002,  0.35000000000E+007,  0.15000000000E+002,  0.39966308359E+000,  0.60033691641E+000
  0.15600000000E+003,  0.35000062072E+007,  0.15000000000E+002,  0.39966303211E+000,  0.60033696789E+000
  0.27600000000E+003,  0.35000124145E+007,  0.15000000000E+002,  0.39966298064E+000,  0.60033701936E+000
  0.39600000000E+003,  0.35000186217E+007,  0.15000000000E+002,  0.39966292916E+000,  0.60033707084E+000
  0.51600000000E+003,  0.35000248290E+007,  0.15000000000E+002,  0.39966287769E+000,  0.60033712231E+000
  0.63600000000E+003,  0.35000310363E+007,  0.15000000000E+002,  0.39966282621E+000,  0.60033717379E+000
  0.75600000000E+003,  0.35000372435E+007,  0.15000000000E+002,  0.39966277474E+000,  0.60033722526E+000
  0.87600000000E+003,  0.35000434508E+007,  0.15000000000E+002,  0.39966272326E+000,  0.60033727674E+000
  0.99600000000E+003,  0.35000496581E+007,  0.15000000000E+002,  0.39966267179E+000,  0.60033732821E+000
  0.11160000000E+004,  0.35000558654E+007,  0.15000000000E+002,  0.39966262032E+000,  0.60033737968E+000
  0.12360000000E+004,  0.35000620727E+007,  0.15000000000E+002,  0.39966256884E+000,  0.60033743116E+000
  0.13560000000E+004,  0.35000682800E+007,  0.15000000000E+002,  0.39966251737E+000,  0.60033748263E+000
  0.14760000000E+004,  0.35000744873E+007,  0.15000000000E+002,  0.39966246589E+000,  0.60033753411E+000
  0.15960000000E+004,  0.35000806946E+007,  0.15000000000E+002,  0.39966241442E+000,  0.60033758558E+000
  0.17160000000E+004,  0.35000869020E+007,  0.15000000000E+002,  0.39966236295E+000,  0.60033763705E+000
  0.18360000000E+004,  0.35000931093E+007,  0.15000000000E+002,  0.39966231147E+000,  0.60033768853E+000
  0.19560000000E+004,  0.35000993166E+007,  0.15000000000E+002,  0.39966226000E+000,  0.60033774000E+000
  0.20760000000E+004,  0.35001055240E+007,  0.15000000000E+002,  0.39966220853E+000,  0.60033779147E+000
  0.21960000000E+004,  0.35001117313E+007,  0.15000000000E+002,  0.39966215705E+000,  0.60033784295E+000
  0.23160000000E+004,  0.35001179387E+007,  0.15000000000E+002,  0.39966210558E+000,  0.60033789442E+000
  0.24360000000E+004,  0.35001241461E+007,  0.15000000000E+002,  0.39966205411E+000,  0.60033794589E+000
  0.25560000000E+004,  0.35001303534E+007,  0.15000000000E+002,  0.39966200263E+000,  0.60033799737E+000
  0.26760000000E+004,  0.35001365608E+007,  0.15000000000E+002,  0.39966195116E+000,  0.60033804884E+000
  0.27960000000E+004,  0.35001427682E+007,  0.15000000000E+002,  0.39966189969E+000,  0.60033810031E+000
  0.29160000000E+004,  0.35001489756E+007,  0.15000000000E+002,  0.39966184822E+000,  0.60033815178E+000
  0.30360000000E+004,  0.35001551830E+007,  0.15000000000E+002,  0.39966179674E+000,  0.60033820326E+000
  0.31560000000E+004,  0.35001613904E+007,  0.15000000000E+002,  0.39966174527E+000,  0.60033825473E+000
  0.32760000000E+004,  0.35001675978E+007,  0.15000000000E+002,  0.39966169380E+000,  0.60033830620E+000
  0.33960000000E+004,  0.35001738052E+007,  0.15000000000E+002,  0.39966164233E+000,  0.60033835767E+000
  0.35160000000E+004,  0.35001800127E+007,  0.15000000000E+002,  0.39966159085E+000,  0.60033840915E+000
  0.36360000000E+004,  0.35001862201E+007,  0.15000000000E+002,  0.39966153938E+000,  0.60033846062E+000
  0.37560000000E+004,  0.35001924275E+007,  0.15000000000E+002,  0.39966148791E+000,  0.60033851209E+000
  0.38760000000E+004,  0.35001986350E+007,  0.15000000000E+002,  0.39966143644E+000,  0.60033856356E+000
  0.39960000000E+004,  0.35002048424E+007,  0.15000000000E+002,  0.39966138497E+000,  0.60033861503E+000
  0.41160000000E+004,  0.35002110499E+007,  0.15000000000E+002,  0.39966133349E+000,  0.60033866651E+000
  0.42360000000E+004,  0.35002172573E+007,  0.15000000000E+002,  0.39966128202E+000,  0.60033871798E+000
  0.43560000000E+004,  0.35002234648E+007,  0.15000000000E+002,  0.39966123055E+000,  0.60033876945E+000
  0.44760000000E+004,  0.35002296723E+007,  0.15000000000E+002,  0.39966117908E+000,  0.60033882092E+000
  0.45960000000E+004,  0.35002358798E+007,  0.15000000000E+002,  0.39966112761E+000,  0.60033887239E+000
  0.47160000000E+004,  0.35002420873E+007,  0.15000000000E+002,  0.39966107614E+000,  0.60033892386E+000
  0.48360000000E+004,  0.35002482948E+007,  0.15000000000E+002,  0.39966102467E+000,  0.60033897533E+000
  0.49560000000E+004,  0.35002545023E+007,  0.15000000000E+002,  0.39966097320E+000,  0.60033902680E+000
  0.50760000000E+004,  0.35002607098E+007,  0.15000000000E+002,  0.39966092173E+000,  0.60033907827E+000
  0.51960000000E+004,  0.35002669173E+007,  0.15000000000E+002,  0.39966087026E+000,  0.60033912974E+000
  0.53160000000E+004,  0.35002731248E+007,  0.15000000000E+002,  0.39966081879E+000,  0.60033918121E+000
  0.54360000000E+004,  0.35002793324E+007,  0.15000000000E+002,  0.39966076732E+000,  0.60033923268E+000
  0.55560000000E+004,  0.35002855399E+007,  0.15000000000E+002,  0.39966071585E+000,  0.60033928415E+000
  0.56760000000E+004,  0.35002917475E+007,  0.15000000000E+002,  0.39966066438E+000,  0.60033933562E+000
  0.57960000000E+004,  0.35002979550E+007,  0.15000000000E+002,  0.39966061291E+000,  0.60033938709E+000
  0.59160000000E+004,  0.35003041626E+007,  0.15000000000E+002,  0.39966056144E+000,  0.60033943856E+000
  0.60360000000E+004,  0.35003103701E+007,  0.15000000000E+002,  0.39966050997E+000,  0.60033949003E+000
  0.61560000000E+004,  0.35003165777E+007,  0.15000000000E+002,  0.39966045850E+000,  0.60033954150E+000
  0.62760000000E+004,  0.35003227853E+007,  0.15000000000E+002,  0.39966040703E+000,  0.60033959297E+000
  0.63960000000E+004,  0.35003289929E+007,  0.15000000000E+002,  0.39966035556E+000,  0.60033964444E+000
  0.65160000000E+004,  0.35003352005E+007,  0.15000000000E+002,  0.39966030409E+000,  0.60033969591E+000
  0.66360000000E+004,  0.35003414081E+007,  0.15000000000E+002,  0.39966025262E+000,  0.60033974738E+000
  0.67560000000E+004,  0.35003476157E+007,  0.15000000000E+002,  0.39966020115E+000,  0.60033979885E+000
  0.68760000000E+004,  0.35003538233E+007,  0.15000000000E+002,  0.39966014968E+000,  0.60033985032E+000
  0.69960000000E+004,  0.35003600309E+007,  0.15000000000E+002,  0.39966009821E+000,  0.60033990179E+000
  0.71160000000E+004,  0.35003662385E+007,  0.15000000000E+002,  0.39966004674E+000,  0.60033995326E+000
  0.72360000000E+004,  0.35003724461E+007,  0.15000000000E+002,  0.39965999528E+000,  0.60034000472E+000
  0.73560000000E+004,  0.35003786538E+007,  0.15000000000E+002,  0.39965994381E+000,  0.60034005619E+000
  0.74760000000E+004,  0.35003848614E+007,  0.15000000000E+002,  0.39965989234E+000,  0.60034010766E+000
  0.75960000000E+004,  0.35003910691E+007,  0.15000000000E+002,  0.39965984087E+000,  0.60034015913E+000
  0.77160000000E+004,  0.35003972767E+007,  0.15000000000E+002,  0.39965978940E+000,  0.60034021060E+000
  0.78360000000E+004,  0.35004034844E+007,  0.15000000000E+002,  0.39965973793E+000,  0.60034026207E+000
  0.79560000000E+004,  0.35004096921E+007,  0.15000000000E+002,  0.39965968647E+000,  0.60034031353E+000
