"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","             SAT_S","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             DEN_S","             VIS_G","             VIS_L","             VIS_S"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)","            (PA*S)"
"TIME [sec]  0.87272700E+04"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39966217748E+000,  0.60033782252E+000,  0.00000000000E+000,  0.35004469382E+007,  0.00000000000E+000,  0.84423149268E+002,  0.10092095370E+004,  0.21614091199E+004,  0.15571777648E-004,  0.11368845923E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965937766E+000,  0.60034062234E+000,  0.00000000000E+000,  0.35004469382E+007,  0.00000000000E+000,  0.84423149268E+002,  0.10092095370E+004,  0.21614091199E+004,  0.15571777648E-004,  0.11368845923E-002,  0.10000000000E+001
"TIME [sec]  0.17454500E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39966126236E+000,  0.60033873764E+000,  0.00000000000E+000,  0.35008984237E+007,  0.00000000000E+000,  0.84438356700E+002,  0.10092105096E+004,  0.21614091590E+004,  0.15572053070E-004,  0.11368843183E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965563491E+000,  0.60034436509E+000,  0.00000000000E+000,  0.35008984237E+007,  0.00000000000E+000,  0.84438356700E+002,  0.10092105096E+004,  0.21614091590E+004,  0.15572053070E-004,  0.11368843183E-002,  0.10000000000E+001
"TIME [sec]  0.26181800E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39966034737E+000,  0.60033965263E+000,  0.00000000000E+000,  0.35013499479E+007,  0.00000000000E+000,  0.84453565437E+002,  0.10092114819E+004,  0.21614091980E+004,  0.15572328515E-004,  0.11368840443E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965189271E+000,  0.60034810729E+000,  0.00000000000E+000,  0.35013499479E+007,  0.00000000000E+000,  0.84453565437E+002,  0.10092114819E+004,  0.21614091980E+004,  0.15572328515E-004,  0.11368840443E-002,  0.10000000000E+001
"TIME [sec]  0.34909000E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965943253E+000,  0.60034056747E+000,  0.00000000000E+000,  0.35018015020E+007,  0.00000000000E+000,  0.84468775182E+002,  0.10092124542E+004,  0.21614092370E+004,  0.15572603979E-004,  0.11368837703E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964815114E+000,  0.60035184886E+000,  0.00000000000E+000,  0.35018015020E+007,  0.00000000000E+000,  0.84468775182E+002,  0.10092124542E+004,  0.21614092370E+004,  0.15572603979E-004,  0.11368837703E-002,  0.10000000000E+001
"TIME [sec]  0.43636300E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965851781E+000,  0.60034148219E+000,  0.00000000000E+000,  0.35022530964E+007,  0.00000000000E+000,  0.84483986283E+002,  0.10092134264E+004,  0.21614092761E+004,  0.15572879468E-004,  0.11368834962E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964441013E+000,  0.60035558987E+000,  0.00000000000E+000,  0.35022530964E+007,  0.00000000000E+000,  0.84483986283E+002,  0.10092134264E+004,  0.21614092761E+004,  0.15572879468E-004,  0.11368834962E-002,  0.10000000000E+001
"TIME [sec]  0.52363600E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965760323E+000,  0.60034239677E+000,  0.00000000000E+000,  0.35027047259E+007,  0.00000000000E+000,  0.84499198567E+002,  0.10092143984E+004,  0.21614093151E+004,  0.15573154977E-004,  0.11368832221E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964066970E+000,  0.60035933030E+000,  0.00000000000E+000,  0.35027047259E+007,  0.00000000000E+000,  0.84499198567E+002,  0.10092143984E+004,  0.21614093151E+004,  0.15573154977E-004,  0.11368832221E-002,  0.10000000000E+001
"TIME [sec]  0.61090900E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965668879E+000,  0.60034331121E+000,  0.00000000000E+000,  0.35031563905E+007,  0.00000000000E+000,  0.84514412033E+002,  0.10092153703E+004,  0.21614093542E+004,  0.15573430509E-004,  0.11368829481E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963692986E+000,  0.60036307014E+000,  0.00000000000E+000,  0.35031563905E+007,  0.00000000000E+000,  0.84514412033E+002,  0.10092153703E+004,  0.21614093542E+004,  0.15573430509E-004,  0.11368829481E-002,  0.10000000000E+001
"TIME [sec]  0.69818100E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965577450E+000,  0.60034422550E+000,  0.00000000000E+000,  0.35036080850E+007,  0.00000000000E+000,  0.84529626507E+002,  0.10092163421E+004,  0.21614093932E+004,  0.15573706058E-004,  0.11368826739E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963319065E+000,  0.60036680935E+000,  0.00000000000E+000,  0.35036080850E+007,  0.00000000000E+000,  0.84529626507E+002,  0.10092163421E+004,  0.21614093932E+004,  0.15573706058E-004,  0.11368826739E-002,  0.10000000000E+001
"TIME [sec]  0.78545400E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965486033E+000,  0.60034513967E+000,  0.00000000000E+000,  0.35040598199E+007,  0.00000000000E+000,  0.84544842338E+002,  0.10092173138E+004,  0.21614094323E+004,  0.15573981632E-004,  0.11368823998E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962945199E+000,  0.60037054801E+000,  0.00000000000E+000,  0.35040598199E+007,  0.00000000000E+000,  0.84544842338E+002,  0.10092173138E+004,  0.21614094323E+004,  0.15573981632E-004,  0.11368823998E-002,  0.10000000000E+001
"TIME [sec]  0.87272700E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965394630E+000,  0.60034605370E+000,  0.00000000000E+000,  0.35045115898E+007,  0.00000000000E+000,  0.84560059352E+002,  0.10092182854E+004,  0.21614094713E+004,  0.15574257228E-004,  0.11368821257E-002,  0.10000000000E+001
