"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94881000000E+005,  0.45358954295E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94882100000E+005,  0.45357938391E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94883200000E+005,  0.45356963406E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884300000E+005,  0.45355059029E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94885000000E+005,  0.45352759750E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94886100000E+005,  0.45351802705E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94887200000E+005,  0.45352028005E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94888300000E+005,  0.45353088420E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94889400000E+005,  0.45355181418E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94890000000E+005,  0.45358182229E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94891100000E+005,  0.45362299512E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94892200000E+005,  0.45366574442E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94893300000E+005,  0.45371331792E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94894400000E+005,  0.45376988914E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94895000000E+005,  0.45382614562E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94896100000E+005,  0.45389199742E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94897200000E+005,  0.45395297586E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94898300000E+005,  0.45401605010E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94899400000E+005,  0.45408820046E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94900000000E+005,  0.45415886894E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94901100000E+005,  0.45423565669E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94902200000E+005,  0.45430678248E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94903300000E+005,  0.45438563823E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94904400000E+005,  0.45446790890E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94905000000E+005,  0.45454912007E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
