"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94881000000E+005,  0.49931373366E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94886000000E+005,  0.27196929055E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94896000000E+005,  0.41904979617E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94906000000E+005,  0.47768301522E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94916000000E+005,  0.51056018966E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94926000000E+005,  0.53246907555E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94936000000E+005,  0.54857263766E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94946000000E+005,  0.56115444759E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94956000000E+005,  0.57138726583E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94966000000E+005,  0.57994159709E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94976000000E+005,  0.58723435953E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94986000000E+005,  0.59354282407E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94996000000E+005,  0.59906157124E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95006000000E+005,  0.60393311258E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95016000000E+005,  0.60826542783E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95026000000E+005,  0.61214257963E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95036000000E+005,  0.61563145518E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95046000000E+005,  0.61878622998E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95056000000E+005,  0.62165143105E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95066000000E+005,  0.62426410474E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95076000000E+005,  0.62665539207E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95086000000E+005,  0.62885170003E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95096000000E+005,  0.63087558995E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95106000000E+005,  0.63274646305E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95116000000E+005,  0.63448109773E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95126000000E+005,  0.63609407632E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95136000000E+005,  0.63759812806E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95146000000E+005,  0.63900440792E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95156000000E+005,  0.64032272517E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95166000000E+005,  0.64156173269E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95176000000E+005,  0.64272908468E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
