"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94878500000E+005,  0.34787648155E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94881000000E+005,  0.34787648086E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94886000000E+005,  0.51162102561E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94891000000E+005,  0.48625680474E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94896000000E+005,  0.18310282634E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94901000000E+005,  0.16466971055E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94906000000E+005,  0.13233887901E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94911000000E+005,  0.18667185547E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94916000000E+005,  0.26409557930E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94921000000E+005,  0.96230648182E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94926000000E+005,  0.55354641622E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94931000000E+005,  0.92942933135E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94931625000E+005,  0.37607145145E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94934750000E+005,  0.25113665917E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94939750000E+005,  0.11884020979E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94944750000E+005,  0.15266098744E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94949750000E+005,  0.91489967312E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94954750000E+005,  0.19037141685E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
