"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94878500000E+005,  0.99756829686E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94881000000E+005,  0.99756829628E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94882250000E+005,  0.36512071054E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94882347656E+005,  0.84606393211E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94882835938E+005,  0.25264481709E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94883141113E+005,  0.30186574402E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884666992E+005,  0.37752073409E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884786201E+005,  0.37486359231E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94885382248E+005,  0.37795682758E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94888362480E+005,  0.37024229280E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94888518730E+005,  0.37462887307E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94889299980E+005,  0.37606931083E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94893206230E+005,  0.37653894569E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94903206230E+005,  0.49565569254E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94903206230E+005,  0.49565569254E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
