"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94878100000E+005,  0.77496358603E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94878600000E+005,  0.77496358572E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94881100000E+005,  0.77496358572E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884100000E+005,  0.26801559315E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94887100000E+005,  0.47825641457E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94890100000E+005,  0.67406498199E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94893100000E+005,  0.85796119653E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94896100000E+005,  0.10317507628E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94899100000E+005,  0.11967986128E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94902100000E+005,  0.13541730678E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94905100000E+005,  0.15047318402E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94908100000E+005,  0.16491773228E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94911100000E+005,  0.17880940811E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94914100000E+005,  0.19225106803E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94917100000E+005,  0.21257564235E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94920100000E+005,  0.22690175655E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94923100000E+005,  0.23795022700E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94926100000E+005,  0.25743553465E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94929100000E+005,  0.28499184786E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94932100000E+005,  0.33247135200E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94935100000E+005,  0.40261587573E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94938100000E+005,  0.46864684517E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94941000000E+005,  0.52791195328E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
