"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94879000000E+005,  0.34886226287E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94882000000E+005,  0.66708820934E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94885000000E+005,  0.27350441160E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94888000000E+005,  0.41941650172E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94891000000E+005,  0.55236933078E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94894000000E+005,  0.67008564718E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94897000000E+005,  0.76810141907E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94900000000E+005,  0.84008801287E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94903000000E+005,  0.87579800813E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94906000000E+005,  0.86491759703E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94909000000E+005,  0.83643395883E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94912000000E+005,  0.82844796843E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94915000000E+005,  0.84733673098E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94918000000E+005,  0.91213885715E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94921000000E+005,  0.89535778154E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94924000000E+005,  0.87988847996E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94927000000E+005,  0.95409845888E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94930000000E+005,  0.10441172105E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94933000000E+005,  0.11353820397E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94936000000E+005,  0.12407370575E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94939000000E+005,  0.12833653566E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94942000000E+005,  0.13849436104E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94945000000E+005,  0.15387989524E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94948000000E+005,  0.20939305023E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94951000000E+005,  0.26560466534E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94954000000E+005,  0.32381784068E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94957000000E+005,  0.35699082143E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94960000000E+005,  0.40130455493E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94963000000E+005,  0.45476427654E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94966000000E+005,  0.48699171434E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94969000000E+005,  0.51711921781E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94972000000E+005,  0.54775485128E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94975000000E+005,  0.54734986064E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94978000000E+005,  0.59220714204E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94981000000E+005,  0.62871639844E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94984000000E+005,  0.65053379942E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94987000000E+005,  0.63536818936E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94990000000E+005,  0.62635567032E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94993000000E+005,  0.61062095317E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94996000000E+005,  0.58143231646E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94999000000E+005,  0.58260566751E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95002000000E+005,  0.60681909727E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95005000000E+005,  0.61597273940E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95008000000E+005,  0.62515823546E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95011000000E+005,  0.65074255266E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95014000000E+005,  0.65889717036E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95017000000E+005,  0.67453823959E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95020000000E+005,  0.67698018677E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95023000000E+005,  0.69041531572E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95026000000E+005,  0.67328725698E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95029000000E+005,  0.65015618741E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95032000000E+005,  0.61401151245E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95035000000E+005,  0.62157580741E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95038000000E+005,  0.60180540844E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95041000000E+005,  0.59556976421E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95044000000E+005,  0.62142207110E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95047000000E+005,  0.62933853339E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95050000000E+005,  0.64138172549E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95053000000E+005,  0.64378084685E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95056000000E+005,  0.62376931366E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95059000000E+005,  0.60602989437E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95062000000E+005,  0.58426655912E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95065000000E+005,  0.56302916127E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95068000000E+005,  0.58504520605E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95071000000E+005,  0.59415403216E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95074000000E+005,  0.59860355888E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95077000000E+005,  0.60011996184E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95080000000E+005,  0.60869397639E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95083000000E+005,  0.60423132139E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95086000000E+005,  0.59679351050E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95089000000E+005,  0.58100358680E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95092000000E+005,  0.54363821766E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95095000000E+005,  0.51046907383E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95098000000E+005,  0.55241293154E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95101000000E+005,  0.57581868442E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95104000000E+005,  0.59768238319E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95107000000E+005,  0.60124261653E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95110000000E+005,  0.59558076522E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95113000000E+005,  0.62022221659E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95116000000E+005,  0.63598693437E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95119000000E+005,  0.63555861446E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95122000000E+005,  0.63882688429E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95125000000E+005,  0.62058392292E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95128000000E+005,  0.60386949666E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95131000000E+005,  0.61726880606E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95134000000E+005,  0.62338443536E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95137000000E+005,  0.59467032388E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95140000000E+005,  0.57423933875E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95143000000E+005,  0.60366620911E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95146000000E+005,  0.60055846210E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95149000000E+005,  0.62357456271E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95152000000E+005,  0.60259793774E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95155000000E+005,  0.59625613280E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95158000000E+005,  0.58251591986E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95161000000E+005,  0.57431771017E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95164000000E+005,  0.54957941104E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95167000000E+005,  0.55564350275E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95170000000E+005,  0.54495216208E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95173000000E+005,  0.54895271291E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95176000000E+005,  0.54808280841E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95179000000E+005,  0.54301037139E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95182000000E+005,  0.54633302585E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95185000000E+005,  0.54381454776E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95188000000E+005,  0.52620581945E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95191000000E+005,  0.51713498248E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95194000000E+005,  0.51629027304E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
