"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94879000000E+005,  0.78395342716E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884000000E+005,  0.78395342586E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94909000000E+005,  0.78395342753E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94939000000E+005,  0.78395343555E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94969000000E+005,  0.78395344658E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94999000000E+005,  0.78395345916E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95029000000E+005,  0.78395347249E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95059000000E+005,  0.78395348610E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95089000000E+005,  0.78395349965E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95119000000E+005,  0.78395351301E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95149000000E+005,  0.78395352604E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95179000000E+005,  0.78395353865E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95209000000E+005,  0.78395355060E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95239000000E+005,  0.78395356200E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95269000000E+005,  0.78395357290E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95299000000E+005,  0.78395358333E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95329000000E+005,  0.78395359303E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95359000000E+005,  0.78395360210E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95389000000E+005,  0.78395361055E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95419000000E+005,  0.78395361874E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95449000000E+005,  0.78395362677E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95479000000E+005,  0.78395363465E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95509000000E+005,  0.78395364240E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95539000000E+005,  0.78395365014E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95569000000E+005,  0.78395365804E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95599000000E+005,  0.78395366625E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95629000000E+005,  0.78395367523E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95659000000E+005,  0.78395368544E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95689000000E+005,  0.78395369747E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95719000000E+005,  0.78395371200E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95749000000E+005,  0.78395372960E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95779000000E+005,  0.78395375177E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95809000000E+005,  0.78395377994E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95839000000E+005,  0.78395381569E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95869000000E+005,  0.78395386052E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95899000000E+005,  0.78395391653E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95929000000E+005,  0.78395398637E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95959000000E+005,  0.78395407326E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95989000000E+005,  0.78395418224E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
