"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94878500000E+005,  0.99758067837E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94881000000E+005,  0.99758067051E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94893500000E+005,  0.74879539371E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94953500000E+005,  0.34086061009E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95013500000E+005,  0.36625759418E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95073500000E+005,  0.22890022334E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95133500000E+005,  0.23504339533E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95193500000E+005,  0.23742635381E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95253500000E+005,  0.23877065924E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95254000000E+005,  0.23864666763E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95256500000E+005,  0.23769422563E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95269000000E+005,  0.23570981000E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95331500000E+005,  0.23603478148E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95644000000E+005,  0.25017400274E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96244000000E+005,  0.26057419072E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96844000000E+005,  0.22855408282E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97444000000E+005,  0.22766583383E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98044000000E+005,  0.22719890963E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98644000000E+005,  0.22410222419E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99244000000E+005,  0.22273231967E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99844000000E+005,  0.22081517919E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10044400000E+006,  0.20888412616E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10104400000E+006,  0.20801279783E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10164400000E+006,  0.20717663169E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10224400000E+006,  0.21148449680E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10284400000E+006,  0.21783724029E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10344400000E+006,  0.21740947178E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10404400000E+006,  0.21718494572E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10464400000E+006,  0.21692800079E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10524400000E+006,  0.21651551709E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10584400000E+006,  0.21631544010E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10644400000E+006,  0.21608487428E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10704400000E+006,  0.21592785688E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10764400000E+006,  0.21599854601E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10824400000E+006,  0.21612203580E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10884400000E+006,  0.21604303769E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10944400000E+006,  0.21598312871E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11004400000E+006,  0.19374338365E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11064400000E+006,  0.39252302448E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11124400000E+006,  0.37814988763E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11184400000E+006,  0.36773877872E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11244400000E+006,  0.35916986343E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11304400000E+006,  0.35153834669E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11364400000E+006,  0.34502460945E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11424400000E+006,  0.33902754665E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11484400000E+006,  0.33322897270E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11544400000E+006,  0.32749514167E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11604400000E+006,  0.32237106724E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11627800000E+006,  0.32049127418E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
