k_x,k_y,k_z
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1.0000001290349922e-16,1.0000001290349921e-17,5.00000064517496e-16
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
1e-17,1e-18,5e-17
