"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.17592150000E+008,  0.21000000171E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17592300000E+008,  0.21000000726E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17592450000E+008,  0.21000001230E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17592600000E+008,  0.21000001094E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17592750000E+008,  0.20999999742E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17592900000E+008,  0.20999996457E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17593050000E+008,  0.20999990421E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17593200000E+008,  0.20999980784E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17593350000E+008,  0.20999966721E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17593500000E+008,  0.20999947454E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17593650000E+008,  0.20999922265E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17593800000E+008,  0.20999890497E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17593950000E+008,  0.20999851555E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17594100000E+008,  0.20999804906E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17594250000E+008,  0.20999750080E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17594400000E+008,  0.20999686666E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17594550000E+008,  0.20999614307E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17594700000E+008,  0.20999532703E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17594850000E+008,  0.20999441596E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17595000000E+008,  0.20999340778E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
