"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.17963400000E+008,  0.21000112681E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17964900000E+008,  0.20989444499E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17966400000E+008,  0.20974665585E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17967900000E+008,  0.20955531355E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17969400000E+008,  0.20931269713E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17970900000E+008,  0.20902577963E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17972400000E+008,  0.20870566001E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17973900000E+008,  0.20836500842E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17975400000E+008,  0.20801528777E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17976900000E+008,  0.20766538629E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17978400000E+008,  0.20732146971E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17979900000E+008,  0.20698743254E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17981400000E+008,  0.20667000585E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17982900000E+008,  0.20644818361E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17984400000E+008,  0.20627962594E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17985900000E+008,  0.20612119045E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17987400000E+008,  0.20596954752E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17988900000E+008,  0.20582435977E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17990400000E+008,  0.20568551822E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17991900000E+008,  0.20555287951E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17993400000E+008,  0.20542624645E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17994900000E+008,  0.20530538233E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17996400000E+008,  0.20519002752E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17997900000E+008,  0.20507991275E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17999400000E+008,  0.20497476850E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18000900000E+008,  0.20487433120E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18002400000E+008,  0.20477834704E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18003900000E+008,  0.20468657421E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18005400000E+008,  0.20459878388E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18006900000E+008,  0.20451476061E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18008400000E+008,  0.20443430215E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18009900000E+008,  0.20435721903E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18011400000E+008,  0.20428333398E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18012900000E+008,  0.20421248119E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18014400000E+008,  0.20414450564E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18015900000E+008,  0.20407926235E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18017400000E+008,  0.20401712013E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18018900000E+008,  0.20395740077E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18020400000E+008,  0.20390002750E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18021900000E+008,  0.20384489354E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18023400000E+008,  0.20379189282E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18024900000E+008,  0.20374092562E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18026400000E+008,  0.20369189858E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18027900000E+008,  0.20364472417E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18029400000E+008,  0.20359932012E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18030900000E+008,  0.20355560903E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18032400000E+008,  0.20351351796E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18033900000E+008,  0.20347297806E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18035400000E+008,  0.20343392433E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18036900000E+008,  0.20339629531E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18038400000E+008,  0.20336003285E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18039900000E+008,  0.20332508183E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18041400000E+008,  0.20329139006E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18042900000E+008,  0.20325890796E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
