"              ELEM","                 X","                 Y","                 Z","              ROCK","            KABS_1","            KABS_2","            KABS_3","              PRES","             SAT_G","             SAT_L"
"                  ","               (M)","               (M)","               (M)","                  ","            (M**2)","            (M**2)","            (M**2)","              (PA)","               (-)","               (-)"
"TIME [sec]  0.17676752E+08"
"             A11 0", -0.73350000000E-002, -0.23105000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050339447E+007,  0.00000000000E+000,  0.10000000000E+001
"             A11 1", -0.73350000000E-002,  0.23105200000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050345408E+007,  0.00000000000E+000,  0.10000000000E+001
"             A11 2",  0.10728900000E-001, -0.22539000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050363178E+007,  0.00000000000E+000,  0.10000000000E+001
"             A11 3",  0.10728900000E-001,  0.22539900000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050368864E+007,  0.00000000000E+000,  0.10000000000E+001
"             A11 4",  0.94495000000E-002, -0.24394000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050364574E+007,  0.00000000000E+000,  0.10000000000E+001
"             A11 5",  0.94495000000E-002,  0.24394900000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050370426E+007,  0.00000000000E+000,  0.10000000000E+001
"             A11 6", -0.23838000000E-001,  0.76699000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050332140E+007,  0.00000000000E+000,  0.10000000000E+001
"             A11 7", -0.23838000000E-001, -0.76690000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050330214E+007,  0.00000000000E+000,  0.10000000000E+001
"             A11 8", -0.50800000000E-002, -0.23850000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050340075E+007,  0.00000000000E+000,  0.10000000000E+001
"             A11 9", -0.50800000000E-002,  0.23850000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050346146E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1110",  0.23465500000E-001, -0.61140000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050384729E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1111",  0.23465500000E-001,  0.61148000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050386532E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1112", -0.24280000000E-001,  0.99114000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050334890E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1113", -0.24280000000E-001, -0.99110000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050332639E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1114",  0.24074900000E-001, -0.39140000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050384058E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1115",  0.24078500000E-001,  0.39025000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050385276E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1116", -0.20592000000E-001, -0.12814000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050328754E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1117", -0.20592000000E-001,  0.12814800000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050331990E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1118", -0.19428000000E-001, -0.14731000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050328357E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1119", -0.19428000000E-001,  0.14731300000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050332091E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1120",  0.21996500000E-001,  0.11975900000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050386087E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1121",  0.21996500000E-001, -0.11975000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050382949E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1122",  0.39847000000E-002,  0.24729400000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050361121E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1123",  0.39847000000E-002, -0.24729000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050355001E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1124",  0.23926500000E-001,  0.10740700000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050389702E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1125",  0.23926500000E-001, -0.10740000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050386833E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1126",  0.39980000000E-002,  0.22703600000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050354195E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1127",  0.39980000000E-002, -0.22703000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050348187E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1128", -0.13103000000E-001,  0.21382800000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050342538E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1129", -0.13103000000E-001, -0.21382000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050337099E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1130",  0.15314400000E-001, -0.19803000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050369249E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1131",  0.15314400000E-001,  0.19803600000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050374258E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1132", -0.88800000000E-002, -0.24669000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050341665E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1133", -0.88800000000E-002,  0.24669300000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050347589E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1134",  0.13879100000E-001, -0.18385000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050361924E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1135",  0.13879100000E-001,  0.18385000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050366847E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1136", -0.11885000000E-001,  0.23384900000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050346233E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1137", -0.11885000000E-001, -0.23384000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050340589E+007,  0.00000000000E+000,  0.10000000000E+001
