"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.17593600000E+008,  0.20999416433E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17601100000E+008,  0.20997992674E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17616100000E+008,  0.20996810207E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17631100000E+008,  0.20996210314E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17646100000E+008,  0.20995826649E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17661100000E+008,  0.20995522487E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17676100000E+008,  0.20995247665E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17691100000E+008,  0.20994991481E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17698600042E+008,  0.20994869922E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17702350087E+008,  0.20994813366E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17717350087E+008,  0.20994638706E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17724850123E+008,  0.20994555271E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17739850123E+008,  0.20994469836E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17754850123E+008,  0.20994428996E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17769850123E+008,  0.20994409658E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17784850123E+008,  0.20994400515E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17799850123E+008,  0.20994396193E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17814850123E+008,  0.20994394151E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17829850123E+008,  0.20994393186E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17844850123E+008,  0.20994392730E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17859850123E+008,  0.20995541355E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17874850123E+008,  0.20999005387E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17889850123E+008,  0.21001583793E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17904850123E+008,  0.21003721225E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17919850123E+008,  0.21006674199E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17934850123E+008,  0.21009788762E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17949850123E+008,  0.21012586941E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17964850123E+008,  0.21015146494E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17979850123E+008,  0.21017512663E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17994850123E+008,  0.21019738608E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18009850123E+008,  0.21021849631E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18024850123E+008,  0.21023881486E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18039850123E+008,  0.21025840524E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18054850123E+008,  0.21027725088E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18069850123E+008,  0.21029616495E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18084850123E+008,  0.21032478273E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18099850123E+008,  0.21035222586E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18114850123E+008,  0.21037850347E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18129850123E+008,  0.21041078125E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18144850123E+008,  0.21044762386E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18159850123E+008,  0.21048278278E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18174850123E+008,  0.21051641830E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18189850123E+008,  0.21054916556E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18204850123E+008,  0.21058070361E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18219850123E+008,  0.21061115708E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18234850123E+008,  0.21064088912E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18249850123E+008,  0.21067000150E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18264850123E+008,  0.21069827717E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18279850123E+008,  0.21072578249E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18294850123E+008,  0.21075326385E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18309850123E+008,  0.21078010427E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18324850123E+008,  0.21080630024E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18339850123E+008,  0.21083204193E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18354850123E+008,  0.21088068802E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18369850123E+008,  0.21096622096E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18384850123E+008,  0.21105612211E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18399850123E+008,  0.21115156628E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18414850123E+008,  0.21125079156E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18429850123E+008,  0.21135339357E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18444850123E+008,  0.21145998809E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18459850123E+008,  0.21157124972E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18474850123E+008,  0.21168592068E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18489850123E+008,  0.21180391322E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18504850123E+008,  0.21192699008E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18519850123E+008,  0.21205391306E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18534850123E+008,  0.21218418145E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18549850123E+008,  0.21231856367E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18564850123E+008,  0.21245848498E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18579850123E+008,  0.21260186785E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18594850123E+008,  0.21274857795E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18609850123E+008,  0.21289971318E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18624850123E+008,  0.21305459034E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18639850123E+008,  0.21321276896E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18654850123E+008,  0.21337524813E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18669850123E+008,  0.21354492560E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18684850123E+008,  0.21371819152E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18698900000E+008,  0.21388351874E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18713900000E+008,  0.21406481771E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18728900000E+008,  0.21425051464E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18743900000E+008,  0.21444016123E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18758900000E+008,  0.21463406332E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18773900000E+008,  0.21483412863E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18788900000E+008,  0.21503774714E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18803900000E+008,  0.21524471896E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18818900000E+008,  0.21545711018E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18833900000E+008,  0.21567466442E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18848900000E+008,  0.21589570148E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18863900000E+008,  0.21612020211E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18878900000E+008,  0.21635280839E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18893900000E+008,  0.21658915802E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18908900000E+008,  0.21682890913E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18923900000E+008,  0.21707458313E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18938900000E+008,  0.21732651328E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18953900000E+008,  0.21758208242E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18968900000E+008,  0.21784105377E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18983900000E+008,  0.21810968633E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18998900000E+008,  0.21838256449E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19013900000E+008,  0.21865896728E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19028900000E+008,  0.21894051725E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19043900000E+008,  0.21922791168E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19058900000E+008,  0.21951895861E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19073900000E+008,  0.21981344068E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19088900000E+008,  0.22011795253E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19103900000E+008,  0.22042728894E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19118900000E+008,  0.22074023884E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19133900000E+008,  0.22105870893E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19148900000E+008,  0.22138441225E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19163900000E+008,  0.22171396969E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19178900000E+008,  0.22204703752E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19193900000E+008,  0.22239042069E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19208900000E+008,  0.22273938988E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19223900000E+008,  0.22309210845E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19238900000E+008,  0.22344991872E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19253900000E+008,  0.22381494688E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19268900000E+008,  0.22418388217E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19283900000E+008,  0.22455635983E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19298900000E+008,  0.22494034112E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19313900000E+008,  0.22533110230E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19328900000E+008,  0.22572580225E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19343900000E+008,  0.22612640836E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19358900000E+008,  0.22653818571E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.19373900000E+008,  0.22695444015E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
