"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.17593600000E+008,  0.20717038735E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17601100000E+008,  0.20471961013E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17616100000E+008,  0.20256762221E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17631100000E+008,  0.20141789302E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17646100000E+008,  0.20080140101E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17661100000E+008,  0.20047141465E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17676100000E+008,  0.20029494777E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17691100000E+008,  0.20020062044E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17706100000E+008,  0.20015021056E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17721100000E+008,  0.20012327388E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17736100000E+008,  0.20010888102E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17751100000E+008,  0.20010119086E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17766100000E+008,  0.20009708204E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17781100000E+008,  0.20009488673E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17796100000E+008,  0.20009371382E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17811100000E+008,  0.20009308714E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17826100000E+008,  0.20009275231E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17841100000E+008,  0.20009257341E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17856100000E+008,  0.20009257341E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17871100000E+008,  0.20009534637E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17886100000E+008,  0.20009713852E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17901100000E+008,  0.20009807443E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17916100000E+008,  0.20009967723E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17931100000E+008,  0.20010215780E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17946100000E+008,  0.20010344765E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17961100000E+008,  0.20010401502E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17976100000E+008,  0.20010416446E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.17991100000E+008,  0.20010412768E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18006100000E+008,  0.20010400461E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18021100000E+008,  0.20010386805E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18036100000E+008,  0.20010375263E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.18051100000E+008,  0.20010360436E+007,  0.19000000000E+002,  0.00000000000E+000,  0.10000000000E+001
