TimeElapsed,WaterRate_kg_s
0.0,0.0
515048.9999999525,1012545.214144767
1030446.9999997644,1011859.5726025137
1545356.0000003083,1012820.5177991629
2060744.9999999022,1011877.2422391841
2577686.0000001965,1008839.306612753
3095058.0000000307,1007998.8866814731
3611810.000000149,1009208.2855990507
4128062.999999919,1010183.7664870372
4644154.999999772,1010498.9032965996
5162076.999999932,1006928.4564081825
5678929.000000167,1009013.0250047657
6202844.000000018,995410.3241940932
6721602.9999997,1005303.8115971371
7241748.999999859,1002623.1096650562
7759218.999999971,1007807.9888687023
8271991.999999713,1017039.5087109937
8784884.000000242,1016803.5375858117
9297795.999999788,1016763.8893230458
9809677.999999955,1018809.8038216409
10322130.999999702,848062.1637500704
10835383.000000147,1016090.3415857077
11347195.999999903,1018947.1545276275
11859049.000000209,1018867.5264181098
12370452.000000305,1019764.0608285466
12882730.000000004,1018022.2457343613
13394572.999999858,1018887.4322793279
13906115.999999993,1019484.9699827058
14418985.999999776,1016847.1542500433
14930721.00000016,1019102.4651423275
15288200.999999907,972567.9758315049
15543947.999999905,1019582.6344004109
15800678.99999984,1015674.7724274287
16055545.999999695,1023103.0302084956
16311432.999999728,1019024.8039172207
16567020.000000041,1020220.9032528287
16819457.000000145,1032951.5879205198
17075594.000000156,1018030.1947785311
17331720.999999717,1018069.9418665253
17587518.000000086,1019383.3391307328
17843957.000000287,1016831.2932112332
18100147.00000011,678546.3913506336
18356324.000000045,1017871.2374649881
18612690.999999758,1017116.8676167048
18869238.00000006,1016403.2321550956
19125496.000000067,1017549.5008936011
19381612.999999803,1018109.6920558545
19638099.999999907,1016640.9993484814
19893477.000000164,1021059.8448557918
20149103.99999977,1020061.2611359629
20404891.000000317,1019423.1919504969
20660667.999999784,1019463.0478914956
20916565.00000027,1018984.9822370192
21172392.000000108,1019263.7993650525
21428239.000000224,1019184.1217598107
21684306.000000216,1018308.4895750236
21939432.999999866,1022060.3856132745
22195200.00000014,1019502.9069415482
22451036.999999803,1019223.9590064983
22706834.00000017,1019383.3391307328
22962590.999999993,1019542.7691135816
23218686.999999847,1018193.1775589932
23474694.000000276,1018547.1490996873
23731100.999999907,1016958.195370544
23986717.99999969,1020101.1669811492
24242526.00000012,1019339.5046267642
24500205.99999998,1011934.1819316186
24758646.00000023,1008958.3655771095
25017026.999999885,1009188.756140543
25275207.999999937,1009970.5245542752
25533890.00000018,1008014.4733679031
25802322.000000138,971401.3232402985
26058690.000000082,1017112.9002061756
26315968.000000272,1013515.3413809476
26574057.000000194,1010330.5448898599
26830904.000000212,1015216.0624807029
27087552.000000235,677335.4945294133
27343969.999999925,1016914.569181237
27599788.000000175,1019299.6583498643
27855514.999999896,1019662.3743299881
28111591.000000108,1018272.7002912564
28367027.999999933,1020820.0064993667
28622515.00000013,1020620.2272514785
28878362.000000246,1019184.1217598107
29134378.999999866,1018507.3647468216
29389996.000000276,1020101.1669786515
29649303.00000014,1005584.8858693937
29904980.00000012,1019861.7787287195
30160846.99999988,1019104.4566131739
30419577.000000026,1007827.4649242592
30678791.000000156,1005945.66651442
30937311.000000242,1008646.1395633358
31196769.99999981,1004995.7796817004
31455399.999999836,1008217.1441827078
31714518.99999976,1006314.4732731872
31973879.000000075,1005379.3954337037
32240348.000000067,978557.3556398954
32498406.99999989,1010447.9983266643
32756266.000000108,1011231.7196598828
33014894.999999903,1008221.0424979664
33273723.99999993,1007441.9790671591
33532161.99999971,1008966.1737059634
33789678.00000021,1012578.6358886226
34047165.99999983,1012688.746661533
34306265.000000104,1006392.151261574
34564943.00000004,1008030.060538846
34823312.00000004,1009235.6281132798
35082160.000000104,1007368.0306586586
35341008.99999978,1007364.1389394212
35599966.999999784,1006940.1215640857
35858456.00000017,1008767.1042079515
36117304.99999984,1007364.1389394212
36376003.00000005,1007952.1295092723
36634421.99999979,1009040.356940717
36893049.99999998,1008224.940840946
37151479.000000164,1009001.3117715584
37410357.99999994,1007247.4012964556
37668486.00000017,1010177.8962366217
37926794.99999997,1009470.0533090333
38184864.000000246,1010408.8441452536
38443432.00000024,1008458.8966925819
38701911.00000017,1008806.1312527038
38960560.00000024,1008143.0819370359
39219149.99999972,1008373.1002765996
39477728.99999977,1008415.996658458
39478069.000000045,0.0
