"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.17539206000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17539236000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17539356000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17539476000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17539596000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17539716000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17539836000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17539956000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17540076000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17540196000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17540316000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17540436000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17540556000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17540676000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17540796000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17540916000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17541036000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17541156000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
  0.17541276000E+008,  0.21010000000E+007,  0.19000000000E+002,  0.10000000000E+001,  0.00000000000E+000
