"             ELEM1","             ELEM2","                 X","                 Y","                 Z","     FLOW_HYDROG_G","      FLOW_WATER_L"
"                  ","                  ","               (M)","               (M)","               (M)","            (KG/S)","            (KG/S)"
"TIME [sec]  0.29635000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.46793398364E-010, -0.86678543816E-009
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29641000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.46384605708E-010, -0.85856933239E-009
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29648000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.17954598235E-009, -0.33207402613E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29654000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.17869915086E-009, -0.33031812274E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29661000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.52397354084E-008, -0.96692142908E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29667000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.18098637368E-008, -0.33206837325E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29674000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.18452444993E-008, -0.33627947282E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29680000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.18554246141E-008, -0.33616925403E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29687000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.18921637248E-008, -0.34048728670E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29693000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.19027320087E-008, -0.34037345753E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29699000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.19427544400E-008, -0.34547489066E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29706000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.19639779024E-008, -0.34682162891E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29712000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.19934755258E-008, -0.34991880708E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29719000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.20258956589E-008, -0.35219989535E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29725000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.20568098426E-008, -0.35539528780E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29732000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.20799389727E-008, -0.35682100857E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29738000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21121064622E-008, -0.36010188509E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29745000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21361787298E-008, -0.36156582451E-007
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29751000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.32635794563E-009, -0.54919947236E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29758000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.32603370790E-009, -0.54804719004E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29764000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.32454224712E-009, -0.54502250808E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29771000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.32736443644E-009, -0.54915284719E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29777000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.32586682697E-009, -0.54612089278E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29784000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21823804177E-009, -0.36541742983E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29790000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21709870350E-009, -0.36327974140E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29796000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21737107339E-009, -0.36350523787E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29803000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21910709873E-009, -0.36613756323E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29809000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21796166816E-009, -0.36399260238E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29816000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21970269831E-009, -0.36662856517E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29822000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21855388902E-009, -0.36447996790E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29829000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22030430228E-009, -0.36712683946E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29835000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21914992563E-009, -0.36497097011E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29842000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22090538137E-009, -0.36762147911E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29848000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.21975854421E-009, -0.36548015172E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29855000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22152345042E-009, -0.36814156953E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29861000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22036010005E-009, -0.36597479166E-008
