"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             VIS_G","             VIS_L"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)"
"TIME [sec]  0.29635000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99904774601E+000,  0.95225398960E-003,  0.55190243780E+006,  0.00000000000E+000,  0.93201079453E+000,  0.99942175143E+003,  0.19351477924E-004,  0.11358584489E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.10000000000E+001,  0.00000000000E+000,  0.55190243780E+006,  0.00000000000E+000,  0.92878151093E+000,  0.00000000000E+000,  0.19351479733E-004,  0.10000000000E+001
"TIME [sec]  0.29641000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99821844713E+000,  0.17815528721E-002,  0.55231515952E+006,  0.00000000000E+000,  0.93270030620E+000,  0.99942194222E+003,  0.19351479279E-004,  0.11358583662E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.10000000000E+001,  0.00000000000E+000,  0.55231515952E+006,  0.00000000000E+000,  0.93139916087E+000,  0.00000000000E+000,  0.19351480008E-004,  0.10000000000E+001
"TIME [sec]  0.29648000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99725239525E+000,  0.27476047485E-002,  0.55274947657E+006,  0.00000000000E+000,  0.93342589601E+000,  0.99942214300E+003,  0.19351480705E-004,  0.11358582792E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99999529670E+000,  0.47033014550E-005,  0.55274947656E+006,  0.00000000000E+000,  0.93342589599E+000,  0.99942214300E+003,  0.19351480705E-004,  0.11358582792E-002
"TIME [sec]  0.29654000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99642606373E+000,  0.35739362681E-002,  0.55306602603E+006,  0.00000000000E+000,  0.93395473793E+000,  0.99942228933E+003,  0.19351481744E-004,  0.11358582158E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99998575339E+000,  0.14246611871E-004,  0.55306602602E+006,  0.00000000000E+000,  0.93395473791E+000,  0.99942228933E+003,  0.19351481744E-004,  0.11358582158E-002
"TIME [sec]  0.29661000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99401556622E+000,  0.59844337803E-002,  0.55399154313E+006,  0.00000000000E+000,  0.93550094887E+000,  0.99942271718E+003,  0.19351484783E-004,  0.11358580304E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99995774458E+000,  0.42255420055E-004,  0.55399154282E+006,  0.00000000000E+000,  0.93550094835E+000,  0.99942271718E+003,  0.19351484783E-004,  0.11358580304E-002
"TIME [sec]  0.29667000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.98576786992E+000,  0.14232130084E-001,  0.55718155352E+006,  0.00000000000E+000,  0.94083032526E+000,  0.99942419184E+003,  0.19351495255E-004,  0.11358573912E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99986205404E+000,  0.13794595587E-003,  0.55718155342E+006,  0.00000000000E+000,  0.94083032508E+000,  0.99942419184E+003,  0.19351495255E-004,  0.11358573912E-002
"TIME [sec]  0.29674000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.97614588262E+000,  0.23854117378E-001,  0.56095012132E+006,  0.00000000000E+000,  0.94712626594E+000,  0.99942593394E+003,  0.19351507626E-004,  0.11358566362E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99974971056E+000,  0.25028943872E-003,  0.56095012121E+006,  0.00000000000E+000,  0.94712626576E+000,  0.99942593394E+003,  0.19351507626E-004,  0.11358566362E-002
"TIME [sec]  0.29680000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.96789873895E+000,  0.32101261055E-001,  0.56422124870E+006,  0.00000000000E+000,  0.95259116007E+000,  0.99942744608E+003,  0.19351518365E-004,  0.11358559808E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99965282435E+000,  0.34717564502E-003,  0.56422124860E+006,  0.00000000000E+000,  0.95259115989E+000,  0.99942744608E+003,  0.19351518365E-004,  0.11358559808E-002
"TIME [sec]  0.29687000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.95827739608E+000,  0.41722603924E-001,  0.56808624912E+006,  0.00000000000E+000,  0.95904820548E+000,  0.99942923274E+003,  0.19351531053E-004,  0.11358552065E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99953908931E+000,  0.46091068909E-003,  0.56808624901E+006,  0.00000000000E+000,  0.95904820530E+000,  0.99942923274E+003,  0.19351531053E-004,  0.11358552065E-002
"TIME [sec]  0.29693000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.95003080444E+000,  0.49969195559E-001,  0.57144161056E+006,  0.00000000000E+000,  0.96465382485E+000,  0.99943078380E+003,  0.19351542068E-004,  0.11358545342E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99944101344E+000,  0.55898656166E-003,  0.57144161046E+006,  0.00000000000E+000,  0.96465382467E+000,  0.99943078380E+003,  0.19351542068E-004,  0.11358545342E-002
"TIME [sec]  0.29699000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.94178491154E+000,  0.58215088457E-001,  0.57483713498E+006,  0.00000000000E+000,  0.97032654231E+000,  0.99943235341E+003,  0.19351553215E-004,  0.11358538540E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99934178751E+000,  0.65821248643E-003,  0.57483713487E+006,  0.00000000000E+000,  0.97032654212E+000,  0.99943235341E+003,  0.19351553215E-004,  0.11358538540E-002
"TIME [sec]  0.29706000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.93216523182E+000,  0.67834768177E-001,  0.57885023899E+006,  0.00000000000E+000,  0.97703101631E+000,  0.99943420849E+003,  0.19351566389E-004,  0.11358530499E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99922490497E+000,  0.77509503285E-003,  0.57885023888E+006,  0.00000000000E+000,  0.97703101613E+000,  0.99943420849E+003,  0.19351566389E-004,  0.11358530499E-002
"TIME [sec]  0.29712000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.92392009044E+000,  0.76079909558E-001,  0.58233503166E+006,  0.00000000000E+000,  0.98285286937E+000,  0.99943581935E+003,  0.19351577829E-004,  0.11358523518E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99912407611E+000,  0.87592388813E-003,  0.58233503154E+006,  0.00000000000E+000,  0.98285286918E+000,  0.99943581935E+003,  0.19351577829E-004,  0.11358523518E-002
"TIME [sec]  0.29719000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.91082141156E+000,  0.89178588441E-001,  0.58795873666E+006,  0.00000000000E+000,  0.99224808661E+000,  0.99943841889E+003,  0.19351596291E-004,  0.11358512250E-002
