TIME (DAYS),Water pumped into interface vessel (ML)
0.000,
0.007,
0.015,
0.022,
0.030,
0.037,
0.045,
0.052,
0.059,
0.067,
0.074,
0.082,
0.089,
0.097,
0.104,
0.112,
0.119,
0.126,
0.134,
0.141,
0.149,
0.156,
0.163,
0.171,
0.178,
0.186,
0.193,
0.201,
0.208,
0.216,
0.223,
0.231,
0.238,
0.245,
0.253,
0.260,
0.267,
0.275,
0.282,
0.289,
0.297,
0.304,
0.312,
0.319,
0.327,
0.334,
0.342,
0.350,
0.357,
0.365,
0.372,
0.379,
0.387,
0.394,
0.402,
0.409,
0.416,
0.424,
0.432,
0.439,
0.446,
0.454,
0.461,
0.469,
0.476,
0.484,
0.491,
0.499,
0.507,
0.514,
0.521,
0.529,
0.536,
0.544,
0.551,
0.559,
0.566,
0.574,
0.582,
0.589,
0.596,
0.603,
0.611,
0.618,
0.626,
0.633,
0.641,
0.648,
0.656,
0.663,
0.670,
0.678,
0.686,
0.693,
0.700,
0.708,
0.715,
0.723,
0.730,
0.737,
0.744,
0.751,
0.759,
0.766,
0.774,
0.781,
0.788,
0.796,
0.804,
0.811,
0.819,
0.826,
0.834,
0.841,
0.848,
0.856,
0.863,
0.871,
0.879,
0.886,
0.894,
0.901,
0.908,
0.915,
0.924,
0.932,
0.939,
0.947,
0.954,
0.962,
0.969,
0.977,
0.984,
0.992,
0.999,
1.007,
1.014,
1.022,
1.029,
1.037,
1.044,
1.052,
1.059,
1.067,
1.074,
1.082,
1.089,
1.097,
1.104,
1.112,
1.119,
1.126,
1.134,
1.141,
1.149,
1.156,
1.164,
1.171,
1.179,
1.186,
1.193,
1.201,
1.208,
1.216,
1.223,
1.231,
1.238,
1.246,
1.253,
1.261,
1.268,
1.276,
1.283,
1.290,
1.298,
1.305,
1.313,
1.320,
1.327,
1.335,
1.343,
1.350,
1.358,
1.365,
1.372,
1.380,
1.388,
1.395,
1.402,
1.410,
1.417,
1.425,
1.432,
1.440,
1.447,
1.454,
1.462,
1.470,
1.477,
1.485,
1.492,
1.500,
1.507,
1.515,
1.522,
1.529,
1.537,
1.545,
1.552,
1.560,
1.567,
1.574,
1.582,
1.590,
1.597,
1.604,
1.612,
1.620,
1.627,
1.634,
1.642,
1.649,
1.657,
1.664,
1.671,
1.679,
1.687,
1.694,
1.702,
1.709,
1.716,
1.723,
1.731,
1.739,
1.746,
1.754,
1.761,
1.768,
1.776,
1.783,
1.791,
1.798,
1.806,
1.813,
1.821,
1.828,
1.835,
1.842,
1.850,
1.857,
1.864,
1.872,
1.879,
1.887,
1.894,
1.901,
1.909,
1.916,
1.923,
1.931,
1.938,
1.946,
1.953,
1.961,
1.968,
1.976,
1.983,
1.991,
1.998,
2.005,
2.013,
2.020,
2.028,
2.035,
2.043,
2.050,
2.057,
2.065,
2.072,
2.079,
2.087,
2.094,
2.102,
2.109,
2.117,
2.124,
2.131,
2.139,
2.147,
2.154,
2.162,
2.169,
2.176,
2.184,
2.192,
2.199,
2.207,
2.214,
2.221,
2.229,
2.236,
2.243,
2.251,
2.258,
2.265,
2.273,
2.280,
2.288,
2.295,
2.303,
2.311,
2.318,
2.325,
2.333,
2.340,
2.348,
2.356,
2.363,
2.371,
2.378,
2.386,
2.393,
2.400,
2.408,
2.415,
2.423,
2.430,
2.438,
2.445,
2.453,
2.460,
2.468,
2.475,
2.483,
2.490,
2.498,
2.505,
2.513,
2.520,
2.527,
2.535,
2.542,
2.549,
2.557,
2.564,
2.572,
2.579,
2.587,
2.594,
2.602,
2.609,
2.616,
2.624,
2.631,
2.639,
2.646,
2.653,
2.661,
2.668,
2.676,
2.683,
2.690,
2.698,
2.705,
2.712,
2.720,
2.727,
2.734,
2.742,
2.750,
2.757,
2.764,
2.772,
2.780,
2.787,
2.795,
2.802,
2.809,
2.817,
2.824,
2.832,
2.840,
2.847,
2.855,
2.862,
2.870,
2.877,
2.884,
2.892,
2.899,
2.907,
2.914,
2.922,
2.929,
2.937,
2.944,
2.951,
2.959,
2.966,
2.973,
2.981,
2.988,
2.996,
3.003,
3.011,
3.018,
3.026,
3.033,
3.040,
3.048,
3.055,
3.063,
3.070,
3.077,
3.085,
3.092,
3.099,
3.107,
3.114,
3.122,
3.129,
3.137,
3.144,
3.152,
3.159,
3.166,
3.174,
3.181,
3.189,
3.196,
3.204,
3.211,
3.219,
3.226,
3.234,
3.241,
3.249,
3.256,
3.264,
3.271,
3.278,
3.286,
3.294,
3.301,
3.309,
3.316,
3.323,
3.331,
3.338,
3.346,
3.353,
3.360,
3.368,
3.376,
3.383,
3.391,
3.398,
3.405,
3.413,
3.420,
3.428,
3.435,
3.443,
3.450,
3.457,
3.465,
3.472,
3.479,
3.487,
3.494,
3.502,
3.510,
3.517,
3.525,
3.532,
3.539,
3.547,
3.554,
3.561,
3.569,
3.576,
3.584,
3.591,
3.599,
3.606,
3.614,
3.621,
3.629,
3.636,
3.644,
3.651,
3.659,
3.666,
3.674,
3.681,
3.689,
3.696,
3.704,
3.711,
3.719,
3.726,
3.733,
3.741,
3.748,
3.755,
3.763,
3.770,
3.777,
3.785,
3.792,
3.800,
3.807,
3.815,
3.822,
3.830,
3.837,
3.844,
3.852,
3.859,
3.867,
3.874,
3.881,
3.889,
3.897,
3.904,
3.912,
3.919,
3.927,
3.934,
3.941,
3.949,
3.956,
3.964,
3.971,
3.979,
3.986,
3.993,
4.001,
4.008,
4.016,
4.024,
4.031,
4.039,
4.046,
4.054,
4.061,
4.068,
4.076,
4.083,
4.091,
4.098,
4.106,
4.113,
4.121,
4.128,
4.136,
4.143,
4.151,
4.158,
4.166,
4.173,
4.180,
4.188,
4.195,
4.202,
4.210,
4.217,
4.225,
4.232,
4.240,
4.247,
4.255,
4.263,
4.270,
4.277,
4.285,
4.292,
4.300,
4.307,
4.314,
4.322,
4.329,
4.337,
4.344,
4.352,
4.360,
4.367,
4.374,
4.382,
4.389,
4.397,
4.404,
4.412,
4.419,
4.426,
4.434,
4.441,
4.449,
4.456,
4.464,
4.471,
4.479,
4.486,
4.493,
4.501,
4.508,
4.516,
4.523,
4.531,
4.538,
4.545,
4.553,
4.560,
4.568,
4.575,
4.583,
4.590,
4.598,
4.605,
4.613,
4.620,
4.627,
4.635,
4.642,
4.649,
4.657,
4.665,
4.672,
4.679,
4.687,
4.695,
4.702,
4.710,
4.718,
4.725,
4.732,
4.740,
4.748,
4.755,
4.762,
4.770,
4.777,
4.784,
4.792,
4.799,
4.807,
4.814,
4.821,
4.829,
4.837,
4.844,
4.851,
4.859,
4.866,
4.874,
4.881,
4.889,
4.896,
4.904,
4.911,
4.918,
4.926,
4.933,
4.941,
4.948,
4.956,
4.964,
4.971,
4.978,
4.986,
4.993,
5.001,
5.008,
5.016,
5.023,
5.030,
5.038,
5.045,
5.053,
5.060,
5.068,
5.075,
5.082,
5.090,
5.098,
5.105,
5.112,
5.120,
5.127,
5.135,
5.142,
5.150,
5.157,
5.165,
5.172,
5.180,
5.187,
5.194,
5.201,
5.209,
5.216,
5.224,
5.231,
5.238,
5.246,
5.253,
5.261,
5.269,
5.276,
5.283,
5.291,
5.298,
5.305,
5.313,
5.320,
5.328,
5.335,
5.343,
5.350,
5.358,
5.365,
5.372,
5.380,
5.387,
5.395,
5.403,
5.411,
5.418,
5.425,
5.433,
5.440,
5.448,
5.455,
5.463,
5.470,
5.478,
5.486,
5.493,
5.500,
5.507,
5.515,
5.522,
5.530,
5.537,
5.545,
5.552,
5.560,
5.567,
5.575,
5.582,
5.589,
5.597,
5.604,
5.612,
5.619,
5.626,
5.634,
5.641,
5.649,
5.656,
5.664,
5.672,
5.679,
5.686,
5.694,
5.701,
5.709,
5.716,
5.723,
5.731,
5.738,
5.745,
5.753,
5.760,
5.768,
5.775,
5.782,
5.790,
5.797,
5.805,
5.812,
5.820,
5.827,
5.835,
5.842,
5.849,
5.857,
5.864,
5.872,
