"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94860000000E+005,  0.99772178275E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94870000000E+005,  0.99772178275E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94878000000E+005,  0.99772178275E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94888000000E+005,  0.10006232976E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94898000000E+005,  0.10079181623E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94908000000E+005,  0.10194434356E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94918000000E+005,  0.10355914487E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94928000000E+005,  0.10569755556E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94938000000E+005,  0.10942626598E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94948000000E+005,  0.11513110751E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94958000000E+005,  0.12292345195E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94968000000E+005,  0.13266951374E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94978000000E+005,  0.14430755602E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94988000000E+005,  0.15777876868E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94992600000E+005,  0.16435783441E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
