"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94934000000E+005,  0.76845562599E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94939000000E+005,  0.76845560848E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94964000000E+005,  0.76845558115E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94994000000E+005,  0.76845580963E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95024000000E+005,  0.76845672635E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95054000000E+005,  0.76845911335E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95084000000E+005,  0.76846423189E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95114000000E+005,  0.76847373627E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95144000000E+005,  0.76848959335E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95174000000E+005,  0.76851398478E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95204000000E+005,  0.76854920054E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95234000000E+005,  0.76859753799E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95264000000E+005,  0.76866121493E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95294000000E+005,  0.76874230044E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95324000000E+005,  0.76884266434E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95354000000E+005,  0.76896394397E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95384000000E+005,  0.76910752606E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95414000000E+005,  0.76927454095E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95444000000E+005,  0.76946586658E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95474000000E+005,  0.76968213952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95504000000E+005,  0.76992377110E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95534000000E+005,  0.77019096659E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95564000000E+005,  0.77048374611E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95594000000E+005,  0.77080196618E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95624000000E+005,  0.77114534084E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95654000000E+005,  0.77151346210E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95684000000E+005,  0.77190581902E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95714000000E+005,  0.77232181536E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95744000000E+005,  0.77276078555E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95774000000E+005,  0.77322200912E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95804000000E+005,  0.77370472336E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95834000000E+005,  0.77420813459E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95864000000E+005,  0.77473142786E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95894000000E+005,  0.77527377532E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95924000000E+005,  0.77583434342E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95954000000E+005,  0.77641229899E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95984000000E+005,  0.77700681430E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96014000000E+005,  0.77761707108E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96044000000E+005,  0.77824226307E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96074000000E+005,  0.77888159726E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96104000000E+005,  0.77953429434E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96134000000E+005,  0.78019958911E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96164000000E+005,  0.78087673134E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96194000000E+005,  0.78156498706E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96224000000E+005,  0.78226364035E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96254000000E+005,  0.78297199515E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96284000000E+005,  0.78368937705E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96314000000E+005,  0.78441513488E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96344000000E+005,  0.78514864186E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96374000000E+005,  0.78588929646E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96404000000E+005,  0.78663652285E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96434000000E+005,  0.78738977097E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96464000000E+005,  0.78814851635E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96494000000E+005,  0.78891225968E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96524000000E+005,  0.78968052617E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96554000000E+005,  0.79045286477E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96584000000E+005,  0.79122884729E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96614000000E+005,  0.79200806748E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96644000000E+005,  0.79279014006E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96674000000E+005,  0.79357469973E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96704000000E+005,  0.79436140019E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96734000000E+005,  0.79514991320E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96764000000E+005,  0.79593992768E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96794000000E+005,  0.79673114877E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96824000000E+005,  0.79752329705E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96854000000E+005,  0.79831610767E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96884000000E+005,  0.79910932966E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96914000000E+005,  0.79990272515E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96944000000E+005,  0.80069606874E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96974000000E+005,  0.80148914681E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97004000000E+005,  0.80228175698E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97034000000E+005,  0.80307370750E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97064000000E+005,  0.80386481674E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97094000000E+005,  0.80465491267E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97124000000E+005,  0.80544383243E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97154000000E+005,  0.80623142181E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97184000000E+005,  0.80701753493E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97214000000E+005,  0.80780203375E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97244000000E+005,  0.80858478776E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97274000000E+005,  0.80936567359E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97304000000E+005,  0.81014457472E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
