"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94879000000E+005,  0.77438864138E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884000000E+005,  0.89905025733E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94909000000E+005,  0.12106374828E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94939000000E+005,  0.17589890419E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94969000000E+005,  0.30150869163E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94999000000E+005,  0.32366861924E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95029000000E+005,  0.33066516627E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95059000000E+005,  0.32992621510E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95089000000E+005,  0.33073679798E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95119000000E+005,  0.33159261489E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95149000000E+005,  0.33234482284E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95179000000E+005,  0.33300059239E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95209000000E+005,  0.33357935957E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95239000000E+005,  0.33409677552E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95269000000E+005,  0.33456438274E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95299000000E+005,  0.33499077444E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95329000000E+005,  0.33538248422E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95359000000E+005,  0.33574458956E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95389000000E+005,  0.33608111722E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95419000000E+005,  0.33639531040E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95449000000E+005,  0.33668981439E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95479000000E+005,  0.33696682824E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95509000000E+005,  0.33722819289E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95539000000E+005,  0.33747546254E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95569000000E+005,  0.33770996316E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95599000000E+005,  0.33793283627E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95629000000E+005,  0.33814507193E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95659000000E+005,  0.33834753469E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95689000000E+005,  0.33854098449E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95719000000E+005,  0.33872609332E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95749000000E+005,  0.33890345866E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95779000000E+005,  0.33907361448E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95809000000E+005,  0.33923704029E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95839000000E+005,  0.33939416713E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95869000000E+005,  0.33954538760E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95899000000E+005,  0.33969105792E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95929000000E+005,  0.33983150321E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95959000000E+005,  0.33996702032E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95989000000E+005,  0.34009788282E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96019000000E+005,  0.33808038603E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96049000000E+005,  0.33661183364E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96079000000E+005,  0.33645160712E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96109000000E+005,  0.33649492116E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96139000000E+005,  0.33657527771E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96169000000E+005,  0.33666324375E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96199000000E+005,  0.33675247780E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96229000000E+005,  0.33684119819E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96259000000E+005,  0.33692871628E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96289000000E+005,  0.33701472320E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96319000000E+005,  0.33709905584E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96349000000E+005,  0.33718163416E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96379000000E+005,  0.33726242495E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96409000000E+005,  0.33734142383E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96439000000E+005,  0.33741864491E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96469000000E+005,  0.33749411335E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96499000000E+005,  0.33756786416E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96529000000E+005,  0.33763993515E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96559000000E+005,  0.33771036975E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96589000000E+005,  0.33777921290E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96619000000E+005,  0.33784650910E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96649000000E+005,  0.33791230275E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96679000000E+005,  0.33797664077E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96709000000E+005,  0.33803956738E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96739000000E+005,  0.33810112607E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96769000000E+005,  0.33816135892E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96799000000E+005,  0.33822030780E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96829000000E+005,  0.33827801306E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96859000000E+005,  0.33833451375E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96889000000E+005,  0.33838984762E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96919000000E+005,  0.33844405117E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96949000000E+005,  0.33849715965E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96979000000E+005,  0.33854920662E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97009000000E+005,  0.33860022495E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97039000000E+005,  0.33865024664E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97069000000E+005,  0.33869930228E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97099000000E+005,  0.33874742130E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97129000000E+005,  0.33879463202E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97159000000E+005,  0.33884096175E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97189000000E+005,  0.33888643678E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97219000000E+005,  0.33893108245E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97249000000E+005,  0.33897492316E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97279000000E+005,  0.33901798240E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97309000000E+005,  0.33906028266E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97339000000E+005,  0.33910184589E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97369000000E+005,  0.33914269311E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97399000000E+005,  0.33918284472E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97429000000E+005,  0.33922232026E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97459000000E+005,  0.33926113872E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97489000000E+005,  0.33929931821E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97519000000E+005,  0.33933687601E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97549000000E+005,  0.33937382915E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97579000000E+005,  0.33941019427E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97609000000E+005,  0.33944598714E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97639000000E+005,  0.33948122297E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97669000000E+005,  0.33951591568E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97699000000E+005,  0.33955008027E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97729000000E+005,  0.33958373075E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97759000000E+005,  0.33961688040E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97789000000E+005,  0.33964954213E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97819000000E+005,  0.33968172821E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97849000000E+005,  0.33971345024E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97879000000E+005,  0.33974471945E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97909000000E+005,  0.33977554687E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97939000000E+005,  0.33980594413E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97969000000E+005,  0.33983592188E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97999000000E+005,  0.33986549051E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98029000000E+005,  0.33989465935E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98059000000E+005,  0.33992343828E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98089000000E+005,  0.33995183662E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98119000000E+005,  0.33997986334E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98149000000E+005,  0.34000752706E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98179000000E+005,  0.34003483613E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98209000000E+005,  0.34006179866E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98239000000E+005,  0.34008842249E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98269000000E+005,  0.34011471519E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98299000000E+005,  0.34014068411E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98329000000E+005,  0.34016633642E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98359000000E+005,  0.34019167904E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98389000000E+005,  0.34021671870E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98419000000E+005,  0.34024146191E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98449000000E+005,  0.34026591498E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98479000000E+005,  0.34029008404E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98509000000E+005,  0.34031397501E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98539000000E+005,  0.34033759368E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98569000000E+005,  0.34036094560E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98599000000E+005,  0.34038403591E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98629000000E+005,  0.34040687023E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98659000000E+005,  0.34042945368E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98689000000E+005,  0.34045179081E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98719000000E+005,  0.34047388653E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98749000000E+005,  0.34049574557E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98779000000E+005,  0.34051737264E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98809000000E+005,  0.34053877226E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98839000000E+005,  0.34055994876E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98869000000E+005,  0.34058090625E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98899000000E+005,  0.34060164876E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98929000000E+005,  0.34062218027E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98959000000E+005,  0.34064250456E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98989000000E+005,  0.34066262537E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99019000000E+005,  0.34068254629E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99049000000E+005,  0.34070227084E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99079000000E+005,  0.34072180242E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99109000000E+005,  0.34074114431E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99139000000E+005,  0.34076029956E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99169000000E+005,  0.34077927154E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99199000000E+005,  0.34079806329E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99229000000E+005,  0.34081667780E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99259000000E+005,  0.34083511796E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99289000000E+005,  0.34085338658E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99319000000E+005,  0.34087148640E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99349000000E+005,  0.34088942011E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99379000000E+005,  0.34090719030E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99409000000E+005,  0.34092479951E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99439000000E+005,  0.34094225021E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99469000000E+005,  0.34095954481E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99499000000E+005,  0.34097668567E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99529000000E+005,  0.34099367507E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99559000000E+005,  0.34101051526E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99589000000E+005,  0.34102720828E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99619000000E+005,  0.34104375640E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99649000000E+005,  0.34106016168E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99679000000E+005,  0.34107642614E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99709000000E+005,  0.34109255177E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99739000000E+005,  0.34110854048E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99769000000E+005,  0.34112439418E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99799000000E+005,  0.34114011470E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99829000000E+005,  0.34115576416E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99859000000E+005,  0.32919973885E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99889000000E+005,  0.32598932350E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99919000000E+005,  0.32537740857E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99949000000E+005,  0.32519843151E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99979000000E+005,  0.32511389761E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10000900000E+006,  0.32505959572E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10003900000E+006,  0.32501966870E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10006900000E+006,  0.32498869011E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10009900000E+006,  0.32496384547E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10012900000E+006,  0.32494385637E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10015900000E+006,  0.32492761185E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10018900000E+006,  0.32491435434E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10021900000E+006,  0.32490338273E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10024900000E+006,  0.32489438622E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10027900000E+006,  0.32488704180E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10030900000E+006,  0.32488111580E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10033900000E+006,  0.32487642037E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10036900000E+006,  0.32487276265E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10039900000E+006,  0.32487002083E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10042900000E+006,  0.32486807294E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10045900000E+006,  0.32486687659E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10048900000E+006,  0.32486631226E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10051900000E+006,  0.32486626406E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10054900000E+006,  0.32486665973E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10057900000E+006,  0.32486747970E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10060900000E+006,  0.32486869251E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10063900000E+006,  0.32487026909E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10066900000E+006,  0.32487217768E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10069900000E+006,  0.32487437651E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10072900000E+006,  0.32487684119E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10075900000E+006,  0.32487952637E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10078900000E+006,  0.32488234378E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10081900000E+006,  0.32488524938E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10084900000E+006,  0.32488822865E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10087900000E+006,  0.32489136031E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10090900000E+006,  0.32489468339E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10093900000E+006,  0.32489822838E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10096900000E+006,  0.32490199951E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10099900000E+006,  0.32490585026E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10102900000E+006,  0.32490977985E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10105900000E+006,  0.32491386156E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10108900000E+006,  0.32491811957E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10111900000E+006,  0.32492254791E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10114900000E+006,  0.32492712776E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10117900000E+006,  0.32493183768E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10120900000E+006,  0.32493665837E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10123900000E+006,  0.32494158202E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10126900000E+006,  0.32494660284E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10129900000E+006,  0.32495171448E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10132900000E+006,  0.32495690813E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10135900000E+006,  0.32496217169E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10138900000E+006,  0.32496749968E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10141900000E+006,  0.32497288562E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10144900000E+006,  0.32497830278E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10147900000E+006,  0.32498376221E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10150900000E+006,  0.32498927494E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10153900000E+006,  0.32499483913E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10156900000E+006,  0.32500044893E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10159900000E+006,  0.32500609973E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10162900000E+006,  0.32501178736E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10165900000E+006,  0.32501750753E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10168900000E+006,  0.32502325500E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10171900000E+006,  0.32502902620E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10174900000E+006,  0.32503481944E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10177900000E+006,  0.32504063125E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10180900000E+006,  0.32504645922E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10183900000E+006,  0.32505230048E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
