"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94880000000E+005,  0.78044062618E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94890000000E+005,  0.78044064489E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94920000000E+005,  0.78044073524E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94950000000E+005,  0.78044108615E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94980000000E+005,  0.78044239545E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95010000000E+005,  0.78044615035E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95040000000E+005,  0.78045486423E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95070000000E+005,  0.78047208862E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95100000000E+005,  0.78050220688E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95130000000E+005,  0.78055009538E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95160000000E+005,  0.78062074476E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95190000000E+005,  0.78071891693E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95220000000E+005,  0.78084888110E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95250000000E+005,  0.78101424184E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95280000000E+005,  0.78121785262E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95310000000E+005,  0.78146179822E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95340000000E+005,  0.78174742670E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95370000000E+005,  0.78207541351E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95400000000E+005,  0.78244584322E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95430000000E+005,  0.78285829811E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95460000000E+005,  0.78331194632E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95490000000E+005,  0.78380562474E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95520000000E+005,  0.78433791407E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95550000000E+005,  0.78490720464E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95580000000E+005,  0.78551175306E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95610000000E+005,  0.78614972960E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95640000000E+005,  0.78681925748E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95670000000E+005,  0.78751844467E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95700000000E+005,  0.78824540911E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95730000000E+005,  0.78899829867E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95760000000E+005,  0.78977530614E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95790000000E+005,  0.79057468054E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95820000000E+005,  0.79139473509E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95850000000E+005,  0.79223385269E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95880000000E+005,  0.79309048926E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95910000000E+005,  0.79396317538E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95940000000E+005,  0.79485051671E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95970000000E+005,  0.79575119332E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96000000000E+005,  0.79666395826E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96030000000E+005,  0.79758763348E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96060000000E+005,  0.79852110206E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96090000000E+005,  0.79946329927E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96120000000E+005,  0.80041320570E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96150000000E+005,  0.80136984434E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96180000000E+005,  0.80233228133E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96210000000E+005,  0.80329962896E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96240000000E+005,  0.80427104917E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96270000000E+005,  0.80524575634E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96300000000E+005,  0.80622301891E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96330000000E+005,  0.80720215939E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96360000000E+005,  0.80818255318E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96390000000E+005,  0.80916362636E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96420000000E+005,  0.81014485281E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96450000000E+005,  0.81112575092E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96480000000E+005,  0.81210588022E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96510000000E+005,  0.81308483793E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96540000000E+005,  0.81406225569E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96570000000E+005,  0.81503779655E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96600000000E+005,  0.81601115201E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96630000000E+005,  0.81698203953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96660000000E+005,  0.81795020018E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96690000000E+005,  0.81891539651E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96720000000E+005,  0.81987741065E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96750000000E+005,  0.82083604267E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96780000000E+005,  0.82179110907E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96810000000E+005,  0.82274244141E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96840000000E+005,  0.82368988514E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96870000000E+005,  0.82463329847E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96900000000E+005,  0.82557255148E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96930000000E+005,  0.82650752519E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96960000000E+005,  0.82743811077E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96990000000E+005,  0.82836420885E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97020000000E+005,  0.82928572887E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97050000000E+005,  0.83020258847E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97080000000E+005,  0.83111471293E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97110000000E+005,  0.83202203470E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97140000000E+005,  0.83292449294E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
