"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94934000000E+005,  0.68818790404E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94939000000E+005,  0.68818790404E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94964000000E+005,  0.68818947213E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94994000000E+005,  0.68820553163E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95024000000E+005,  0.68825303240E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95054000000E+005,  0.68835175691E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95084000000E+005,  0.68851998624E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95114000000E+005,  0.68877188896E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95144000000E+005,  0.68911646519E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95174000000E+005,  0.68955763839E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95204000000E+005,  0.69009499186E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95234000000E+005,  0.69072475538E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95264000000E+005,  0.69144079562E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95294000000E+005,  0.69223548430E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95324000000E+005,  0.69310039734E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95354000000E+005,  0.69402684342E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95384000000E+005,  0.69500624180E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95414000000E+005,  0.69603037710E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95444000000E+005,  0.69709155872E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95474000000E+005,  0.69818270943E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95504000000E+005,  0.69929740338E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95534000000E+005,  0.70042986897E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95564000000E+005,  0.70157496873E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95594000000E+005,  0.70272816475E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95624000000E+005,  0.70388547589E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95654000000E+005,  0.70504343120E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95684000000E+005,  0.70619902245E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95714000000E+005,  0.70734965765E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
