"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94860000000E+005,  0.97407862787E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94870000000E+005,  0.97407862789E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94880000000E+005,  0.97407862791E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94890000000E+005,  0.97407863682E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94900000000E+005,  0.97407869745E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94910000000E+005,  0.97407892197E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94920000000E+005,  0.97407952485E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94930000000E+005,  0.97408084640E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94940000000E+005,  0.97408339226E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94950000000E+005,  0.97408791228E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94960000000E+005,  0.97409550324E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94970000000E+005,  0.97410769202E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94980000000E+005,  0.97412646206E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94990000000E+005,  0.97415421319E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95000000000E+005,  0.97419367053E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95010000000E+005,  0.97424776772E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95020000000E+005,  0.97431952757E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95030000000E+005,  0.97441195458E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95040000000E+005,  0.97452794648E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95050000000E+005,  0.97467022657E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95060000000E+005,  0.97484129680E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95070000000E+005,  0.97504340963E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95080000000E+005,  0.97527855569E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95090000000E+005,  0.97554846388E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95100000000E+005,  0.97585461015E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95110000000E+005,  0.97619823194E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95120000000E+005,  0.97658034584E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95128100000E+005,  0.97691557025E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95138100000E+005,  0.97736926540E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95148100000E+005,  0.97786330186E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95158100000E+005,  0.97839802671E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95168100000E+005,  0.97897365414E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95178100000E+005,  0.97959028060E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
