"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94860000000E+005,  0.97695286520E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94864500000E+005,  0.97695286520E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94871100000E+005,  0.97695286520E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94877600000E+005,  0.97695286520E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884200000E+005,  0.97695285563E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94890700000E+005,  0.97695284649E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94897300000E+005,  0.97695283751E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94903900000E+005,  0.97695282881E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94910400000E+005,  0.97695282050E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94917000000E+005,  0.97695281233E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94923500000E+005,  0.97695280453E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94930100000E+005,  0.97695279685E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94936600000E+005,  0.97695278952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94943200000E+005,  0.97695278232E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94944025000E+005,  0.97695278142E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94944540625E+005,  0.97695278086E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947118750E+005,  0.97695277810E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947453906E+005,  0.97695277774E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947663379E+005,  0.97695277751E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947794299E+005,  0.97695277737E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947876125E+005,  0.97695277729E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947927265E+005,  0.97695277723E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947931261E+005,  0.97695277723E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947951238E+005,  0.97695277721E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947951433E+005,  0.97695277721E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947951448E+005,  0.97695277721E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947951524E+005,  0.97695277721E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947951530E+005,  0.97695277721E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947951534E+005,  0.97695277721E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94947951536E+005,  0.97695277721E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
