"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94908000000E+005,  0.64385636056E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95058000000E+005,  0.28525739741E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95338000000E+005,  0.36680765975E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95618000000E+005,  0.39118359694E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95898000000E+005,  0.40576055134E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96178000000E+005,  0.41274641985E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96194400000E+005,  0.41213259168E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96474400000E+005,  0.41861279293E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96754400000E+005,  0.42428815403E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97034400000E+005,  0.42900824393E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97314400000E+005,  0.43297164065E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97510800000E+005,  0.43543977852E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97790800000E+005,  0.43845488491E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98070800000E+005,  0.44106367562E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98350800000E+005,  0.44334009845E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98630800000E+005,  0.44534132661E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98827200000E+005,  0.44662615720E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99107200000E+005,  0.44825420599E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99387200000E+005,  0.44970902675E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99667200000E+005,  0.45101532640E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.99947200000E+005,  0.44392318436E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10014300000E+006,  0.43253547396E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10042300000E+006,  0.43119125952E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10070300000E+006,  0.43095138294E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10098300000E+006,  0.43102232667E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10126300000E+006,  0.43122432009E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10146000000E+006,  0.43140250266E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10174000000E+006,  0.43168989914E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10202000000E+006,  0.43343504267E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10230000000E+006,  0.45268969324E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10258000000E+006,  0.45543549408E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10277600000E+006,  0.45656640371E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10305600000E+006,  0.45769342917E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10333600000E+006,  0.45857294132E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10361600000E+006,  0.45929852953E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10389600000E+006,  0.45991689007E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10409200000E+006,  0.46030759822E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10437200000E+006,  0.46079882621E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10465200000E+006,  0.46123597619E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10493200000E+006,  0.46162829523E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10521200000E+006,  0.46198270343E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10540900000E+006,  0.46221527180E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10568900000E+006,  0.46251647130E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10596900000E+006,  0.46279194809E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10624900000E+006,  0.46304470577E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10652900000E+006,  0.46327727330E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10672500000E+006,  0.46343093875E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10700500000E+006,  0.46363370727E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10728500000E+006,  0.46382136269E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10756500000E+006,  0.46399532048E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10784500000E+006,  0.46415682126E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10804200000E+006,  0.46424558367E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10832200000E+006,  0.46431145342E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10860200000E+006,  0.46443370515E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10888200000E+006,  0.46455234638E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10916200000E+006,  0.46466450933E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10935800000E+006,  0.46473972192E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10963800000E+006,  0.46484061571E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.10991800000E+006,  0.46493530014E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11019800000E+006,  0.21080860891E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11047800000E+006,  0.12318112118E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11067500000E+006,  0.10532208025E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11095500000E+006,  0.90821432474E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11123500000E+006,  0.80731938055E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11151500000E+006,  0.73125388604E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11179500000E+006,  0.67122622839E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11199100000E+006,  0.63518929008E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11227100000E+006,  0.59262762646E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11255100000E+006,  0.55684148227E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11283100000E+006,  0.52635042216E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11311100000E+006,  0.50008732586E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11330700000E+006,  0.48348112505E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11358700000E+006,  0.46273645097E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11386700000E+006,  0.44446637726E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11414700000E+006,  0.42827407045E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11442700000E+006,  0.41384271681E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11462400000E+006,  0.40446660037E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11490400000E+006,  0.39249021684E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.11518400000E+006,  0.38168289487E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
