,UTC,net flow cor [kg/s],CO2 rate [kg/s],zone P [MPa],TimeElapsed
0,2023-05-07 08:20:00+00:00,0.0,0.0,0.7761203,0.0
1,2023-05-07 10:00:00+00:00,0.0,0.0,0.7743212,6000.0
2,2023-05-07 11:40:00+00:00,0.0,1.2470208641934956e-05,0.7778242,12000.0
3,2023-05-07 13:20:00+00:00,0.0,0.0,0.7690938,18000.0
4,2023-05-07 14:52:33.602000+00:00,0.0,0.0,0.7769161,23553.602
5,2023-05-07 14:52:34.602000+00:00,0.0,0.0,0.7458105,23554.602
6,2023-05-07 14:52:35.602000+00:00,0.0045613333333333,0.0,0.7443957,23555.602
7,2023-05-07 14:52:36.602000+00:00,0.0172537333333333,0.0,0.7656225,23556.602
8,2023-05-07 14:53:59.602000+00:00,0.0178561333333333,0.0,2.9114371,23639.602
9,2023-05-07 14:54:00.602000+00:00,0.0183289666666666,0.0,3.0186539,23640.602
10,2023-05-07 14:54:01.602000+00:00,0.01832125,0.0,3.0731585,23641.602
11,2023-05-07 14:54:02.602000+00:00,0.0,0.0,3.0933729,23642.602
12,2023-05-07 15:00:00+00:00,0.0,0.0,1.9263529,24000.0
13,2023-05-07 15:54:06.691000+00:00,0.0,0.0,1.1577974,27246.691
14,2023-05-07 15:54:07.691000+00:00,0.0,0.0,1.1572305,27247.691
15,2023-05-07 15:54:08.691000+00:00,0.0,0.0,1.1563429,27248.691
16,2023-05-07 15:54:09.691000+00:00,0.0661351833333333,0.0,1.1535892,27249.691
17,2023-05-07 15:54:10.691000+00:00,0.05128655,0.0,1.087842,27250.691
18,2023-05-07 15:54:11.691000+00:00,0.0446789833333333,0.0,1.0551084,27251.691
19,2023-05-07 15:54:12.691000+00:00,0.0367656666666666,0.0,1.023207,27252.691
20,2023-05-07 15:54:20.691000+00:00,0.0404999666666666,0.0,0.9060298,27260.691
21,2023-05-07 15:54:21.691000+00:00,0.0404988333333333,0.0,0.899128,27261.691
22,2023-05-07 15:54:22.691000+00:00,0.0404985333333333,0.0,0.8984943,27262.691
23,2023-05-07 15:54:23.691000+00:00,0.0370479666666666,0.0,0.8947509,27263.691
24,2023-05-07 15:54:24.691000+00:00,0.0330756166666666,0.0,0.8910052,27264.691
25,2023-05-07 15:54:25.691000+00:00,0.0314960666666666,0.0,0.8866077,27265.691
26,2023-05-07 15:54:26.691000+00:00,0.0231371166666666,0.0,0.8830106,27266.691
27,2023-05-07 15:54:27.691000+00:00,0.0266267833333333,0.0,0.8802546,27267.691
28,2023-05-07 15:54:28.691000+00:00,0.0042660666666666,0.0,0.875347,27268.691
29,2023-05-07 15:54:29.691000+00:00,0.02658895,0.0,0.8711603,27269.691
30,2023-05-07 15:54:30.691000+00:00,0.0174341166666666,0.0,0.866196,27270.691
31,2023-05-07 15:54:31.691000+00:00,0.0261837666666666,0.0,0.8632247,27271.691
32,2023-05-07 15:54:32.691000+00:00,0.0074904666666666,0.0,0.8586934,27272.691
33,2023-05-07 15:54:33.691000+00:00,0.0274462333333333,0.0,0.8531191,27273.691
34,2023-05-07 15:54:34.691000+00:00,0.0057131166666666,0.0,0.8474213,27274.691
35,2023-05-07 15:54:35.691000+00:00,0.0210538,0.0,0.8423991,27275.691
36,2023-05-07 15:54:36.691000+00:00,0.0287134,0.0,0.834816,27276.691
37,2023-05-07 15:54:37.691000+00:00,0.0,0.0,0.8303131,27277.691
38,2023-05-07 15:54:38.691000+00:00,0.0080465166666666,0.0,0.8233796,27278.691
39,2023-05-07 15:54:39.691000+00:00,0.0327695666666666,0.0,0.8190524,27279.691
40,2023-05-07 15:54:40.691000+00:00,0.0,0.0,0.8130224,27280.691
41,2023-05-07 15:54:41.691000+00:00,0.0109398833333333,0.0,0.8076862,27281.691
42,2023-05-07 15:54:42.691000+00:00,0.0231762333333333,0.0,0.8023024,27282.691
43,2023-05-07 15:54:43.691000+00:00,0.0087554166666666,0.0,0.7984479,27283.691
44,2023-05-07 15:54:44.691000+00:00,0.0,0.0,0.793487,27284.691
45,2023-05-07 15:54:45.691000+00:00,0.0237632333333333,0.0,0.7883367,27285.691
46,2023-05-07 15:54:46.691000+00:00,0.0055313333333333,0.0,0.7855842,27286.691
47,2023-05-07 15:54:47.691000+00:00,0.0,0.0,0.7816583,27287.691
48,2023-05-07 15:54:48.691000+00:00,0.0,0.0,0.7746318,27288.691
49,2023-05-07 15:54:49.691000+00:00,0.0310926,0.0,0.7695121,27289.691
50,2023-05-07 15:54:50.691000+00:00,0.0104017166666666,0.0,0.7666734,27290.691
51,2023-05-07 15:54:51.691000+00:00,0.0184778333333333,0.0,0.7605244,27291.691
52,2023-05-07 15:54:52.691000+00:00,0.0084179166666666,0.0,0.7563774,27292.691
53,2023-05-07 15:54:53.691000+00:00,0.0089066833333333,0.0,0.7495119,27293.691
54,2023-05-07 15:54:54.691000+00:00,0.0110383333333333,0.0,0.7453661,27294.691
55,2023-05-07 15:54:55.691000+00:00,0.0172767166666666,0.0,0.7398644,27295.691
56,2023-05-07 15:54:56.691000+00:00,0.0041527333333333,0.0,0.7378771,27296.691
57,2023-05-07 15:54:57.691000+00:00,0.0,0.0,0.7349828,27297.691
58,2023-05-07 16:29:10.747000+00:00,0.0,0.0,0.7112098,29350.747
59,2023-05-07 16:29:11.747000+00:00,0.0,0.0,0.6933091,29351.747
60,2023-05-07 16:29:12.747000+00:00,0.0,0.0,0.6869923,29352.747
61,2023-05-07 16:29:13.747000+00:00,0.0174325666666666,0.0,0.6784104,29353.747
62,2023-05-07 16:29:16.747000+00:00,0.0174333833333333,0.0,0.686701,29356.747
63,2023-05-07 16:29:17.747000+00:00,0.0167710333333333,0.0,0.6870955,29357.747
64,2023-05-07 16:29:18.747000+00:00,0.0169315666666666,0.0,0.6875648,29358.747
65,2023-05-07 16:29:19.747000+00:00,0.0,0.0,0.7185639,29359.747
66,2023-05-07 16:29:20.747000+00:00,0.0,0.0,0.6855492,29360.747
67,2023-05-07 16:29:21.747000+00:00,0.0169508166666666,0.0,0.6908695,29361.747
68,2023-05-07 16:30:50.758000+00:00,0.0164329499999999,0.0,1.5010249,29450.758
69,2023-05-07 16:30:51.758000+00:00,0.0164444166666666,0.0,1.5426397,29451.758
70,2023-05-07 16:30:52.758000+00:00,0.0164566,0.0,1.5852124,29452.758
71,2023-05-07 16:30:53.758000+00:00,0.0541256,0.0,1.632712,29453.758
72,2023-05-07 16:30:54.758000+00:00,0.1251989666666666,0.0,2.5810324,29454.758
73,2023-05-07 16:30:55.758000+00:00,0.0817290333333333,0.0,4.5792492,29455.758
74,2023-05-07 16:30:56.758000+00:00,0.0356384,0.0,5.5808252,29456.758
75,2023-05-07 16:30:57.758000+00:00,0.0239302666666666,0.0,5.7356415,29457.758
76,2023-05-07 16:31:16.758000+00:00,0.0048244666666666,0.0,6.0319659,29476.758
77,2023-05-07 16:31:17.758000+00:00,0.0048247833333333,0.0,6.0586865,29477.758
78,2023-05-07 16:31:18.758000+00:00,0.0053096833333333,0.0,6.0637506,29478.758
79,2023-05-07 16:31:19.758000+00:00,0.0,0.0,6.0723642,29479.758
80,2023-05-07 16:40:00+00:00,0.0,0.0,2.0264037,30000.0
81,2023-05-07 16:59:10.784000+00:00,0.0046179833333333,0.0,1.2555832,31150.784
82,2023-05-07 16:59:11.784000+00:00,0.004809,0.0,1.2970585,31151.784
83,2023-05-07 16:59:12.784000+00:00,0.0075979,0.0,1.3222203,31152.784
