t_utc,p_kPa
2023-05-08T01:40:01.000000+0000,160.044
2023-05-08T01:40:06.000000+0000,245.365
2023-05-08T01:40:31.000000+0000,359.285
2023-05-08T01:41:31.000000+0000,439.519
2023-05-08T01:42:31.000000+0000,478.656
2023-05-08T01:43:31.000000+0000,503.825
2023-05-08T01:44:31.000000+0000,522.475
2023-05-08T01:45:31.000000+0000,537.383
2023-05-08T01:46:31.000000+0000,549.839
2023-05-08T01:47:31.000000+0000,560.551
2023-05-08T01:48:31.000000+0000,569.952
2023-05-08T01:49:31.000000+0000,578.329
2023-05-08T01:50:31.000000+0000,585.884
2023-05-08T01:51:31.000000+0000,592.764
2023-05-08T01:52:31.000000+0000,599.079
2023-05-08T01:53:31.000000+0000,604.914
2023-05-08T01:54:31.000000+0000,610.338
2023-05-08T01:55:31.000000+0000,615.402
2023-05-08T01:56:31.000000+0000,620.153
2023-05-08T01:57:31.000000+0000,624.625
2023-05-08T01:58:31.000000+0000,628.850
2023-05-08T01:59:31.000000+0000,632.853
2023-05-08T02:00:31.000000+0000,636.656
2023-05-08T02:01:31.000000+0000,640.278
2023-05-08T02:02:31.000000+0000,643.735
2023-05-08T02:03:31.000000+0000,647.040
2023-05-08T02:04:31.000000+0000,650.208
2023-05-08T02:05:31.000000+0000,653.248
2023-05-08T02:06:31.000000+0000,656.170
2023-05-08T02:07:31.000000+0000,658.984
2023-05-08T02:08:31.000000+0000,661.696
2023-05-08T02:09:31.000000+0000,664.314
2023-05-08T02:10:31.000000+0000,666.844
2023-05-08T02:11:31.000000+0000,669.292
2023-05-08T02:12:31.000000+0000,671.662
2023-05-08T02:13:31.000000+0000,673.960
2023-05-08T02:14:31.000000+0000,676.190
2023-05-08T02:15:31.000000+0000,678.356
2023-05-08T02:16:31.000000+0000,680.461
2023-05-08T02:17:31.000000+0000,682.508
2023-05-08T02:18:31.000000+0000,684.502
2023-05-08T02:19:31.000000+0000,686.443
2023-05-08T02:20:31.000000+0000,688.336
2023-05-08T02:21:31.000000+0000,690.182
2023-05-08T02:22:31.000000+0000,691.984
2023-05-08T02:23:31.000000+0000,693.744
2023-05-08T02:24:31.000000+0000,695.463
2023-05-08T02:25:31.000000+0000,697.144
2023-05-08T02:26:31.000000+0000,698.788
2023-05-08T02:27:31.000000+0000,700.396
2023-05-08T02:28:31.000000+0000,701.971
2023-05-08T02:29:31.000000+0000,703.514
2023-05-08T02:30:31.000000+0000,705.025
2023-05-08T02:31:31.000000+0000,706.507
2023-05-08T02:32:31.000000+0000,707.960
2023-05-08T02:33:31.000000+0000,709.385
2023-05-08T02:34:31.000000+0000,710.783
2023-05-08T02:35:31.000000+0000,712.156
2023-05-08T02:36:31.000000+0000,713.505
2023-05-08T02:37:31.000000+0000,714.829
2023-05-08T02:38:31.000000+0000,716.131
2023-05-08T02:39:31.000000+0000,717.410
2023-05-08T02:40:31.000000+0000,718.667
2023-05-08T02:41:31.000000+0000,719.904
2023-05-08T02:42:31.000000+0000,721.121
2023-05-08T02:43:31.000000+0000,722.318
2023-05-08T02:44:31.000000+0000,723.497
2023-05-08T02:45:31.000000+0000,724.657
2023-05-08T02:46:31.000000+0000,725.799
2023-05-08T02:47:31.000000+0000,726.924
2023-05-08T02:48:31.000000+0000,728.033
2023-05-08T02:49:31.000000+0000,729.125
2023-05-08T02:50:31.000000+0000,730.202
2023-05-08T02:51:31.000000+0000,731.263
2023-05-08T02:52:31.000000+0000,732.309
2023-05-08T02:53:31.000000+0000,733.341
2023-05-08T02:54:31.000000+0000,734.359
2023-05-08T02:55:31.000000+0000,735.363
2023-05-08T02:56:31.000000+0000,736.354
2023-05-08T02:57:31.000000+0000,737.331
2023-05-08T02:58:31.000000+0000,738.296
2023-05-08T02:59:31.000000+0000,739.249
2023-05-08T03:00:31.000000+0000,740.190
2023-05-08T03:01:31.000000+0000,741.119
2023-05-08T03:02:31.000000+0000,742.036
2023-05-08T03:03:31.000000+0000,742.943
2023-05-08T03:04:31.000000+0000,743.838
2023-05-08T03:05:31.000000+0000,744.723
2023-05-08T03:06:31.000000+0000,745.597
2023-05-08T03:07:31.000000+0000,746.461
2023-05-08T03:08:31.000000+0000,747.315
2023-05-08T03:09:31.000000+0000,748.160
2023-05-08T03:10:31.000000+0000,748.995
2023-05-08T03:11:31.000000+0000,749.821
2023-05-08T03:12:31.000000+0000,750.637
2023-05-08T03:13:31.000000+0000,751.445
2023-05-08T03:14:31.000000+0000,752.244
2023-05-08T03:15:31.000000+0000,753.035
2023-05-08T03:16:31.000000+0000,753.817
2023-05-08T03:17:31.000000+0000,754.591
2023-05-08T03:18:31.000000+0000,755.357
2023-05-08T03:19:31.000000+0000,756.115
2023-05-08T03:20:31.000000+0000,756.934
2023-05-08T03:21:31.000000+0000,757.757
2023-05-08T03:22:31.000000+0000,758.516
2023-05-08T03:23:31.000000+0000,759.258
2023-05-08T03:24:31.000000+0000,759.989
2023-05-08T03:25:31.000000+0000,760.710
2023-05-08T03:26:31.000000+0000,761.424
2023-05-08T03:27:31.000000+0000,762.130
2023-05-08T03:28:31.000000+0000,762.829
2023-05-08T03:29:31.000000+0000,763.520
2023-05-08T03:30:31.000000+0000,764.205
2023-05-08T03:31:31.000000+0000,764.884
2023-05-08T03:32:31.000000+0000,765.556
2023-05-08T03:33:31.000000+0000,766.222
2023-05-08T03:34:31.000000+0000,766.882
2023-05-08T03:35:31.000000+0000,767.536
2023-05-08T03:36:31.000000+0000,768.184
2023-05-08T03:37:31.000000+0000,768.826
2023-05-08T03:38:31.000000+0000,769.463
2023-05-08T03:39:31.000000+0000,770.094
2023-05-08T03:40:31.000000+0000,770.719
2023-05-08T03:41:31.000000+0000,771.340
2023-05-08T03:42:31.000000+0000,771.955
2023-05-08T03:43:31.000000+0000,772.565
2023-05-08T03:44:31.000000+0000,773.170
2023-05-08T03:45:31.000000+0000,773.770
2023-05-08T03:46:31.000000+0000,774.365
2023-05-08T03:47:31.000000+0000,774.956
2023-05-08T03:48:31.000000+0000,775.541
2023-05-08T03:49:31.000000+0000,776.123
2023-05-08T03:50:31.000000+0000,776.699
2023-05-08T03:51:31.000000+0000,777.271
2023-05-08T03:52:31.000000+0000,777.839
2023-05-08T03:53:31.000000+0000,778.402
2023-05-08T03:54:31.000000+0000,778.961
2023-05-08T03:55:31.000000+0000,779.516
2023-05-08T03:56:31.000000+0000,780.066
2023-05-08T03:57:31.000000+0000,780.613
2023-05-08T03:58:31.000000+0000,781.155
2023-05-08T03:59:31.000000+0000,781.694
2023-05-08T04:00:31.000000+0000,782.228
2023-05-08T04:01:31.000000+0000,782.759
2023-05-08T04:02:31.000000+0000,783.286
2023-05-08T04:03:31.000000+0000,783.809
2023-05-08T04:04:31.000000+0000,784.328
2023-05-08T04:05:31.000000+0000,784.844
2023-05-08T04:06:31.000000+0000,785.356
2023-05-08T04:07:31.000000+0000,785.865
2023-05-08T04:08:31.000000+0000,786.370
2023-05-08T04:09:31.000000+0000,786.872
2023-05-08T04:10:31.000000+0000,787.370
2023-05-08T04:11:31.000000+0000,787.865
2023-05-08T04:12:31.000000+0000,788.357
2023-05-08T04:13:31.000000+0000,788.845
2023-05-08T04:14:31.000000+0000,789.331
2023-05-08T04:15:31.000000+0000,789.813
2023-05-08T04:16:31.000000+0000,790.292
2023-05-08T04:17:31.000000+0000,790.767
2023-05-08T04:18:31.000000+0000,791.240
2023-05-08T04:19:31.000000+0000,791.710
2023-05-08T04:20:31.000000+0000,792.176
2023-05-08T04:21:31.000000+0000,792.640
2023-05-08T04:22:31.000000+0000,793.101
2023-05-08T04:23:31.000000+0000,793.559
2023-05-08T04:24:31.000000+0000,794.014
2023-05-08T04:25:31.000000+0000,794.467
2023-05-08T04:26:31.000000+0000,794.916
2023-05-08T04:27:31.000000+0000,795.363
2023-05-08T04:28:31.000000+0000,795.807
2023-05-08T04:29:31.000000+0000,796.249
2023-05-08T04:30:31.000000+0000,796.688
2023-05-08T04:31:31.000000+0000,797.124
2023-05-08T04:32:31.000000+0000,797.557
2023-05-08T04:33:31.000000+0000,797.989
2023-05-08T04:34:31.000000+0000,798.417
2023-05-08T04:35:31.000000+0000,798.843
2023-05-08T04:36:31.000000+0000,799.267
2023-05-08T04:37:31.000000+0000,799.688
2023-05-08T04:38:31.000000+0000,800.107
2023-05-08T04:39:31.000000+0000,800.523
2023-05-08T04:40:31.000000+0000,800.937
2023-05-08T04:41:31.000000+0000,801.349
2023-05-08T04:42:31.000000+0000,801.759
2023-05-08T04:43:31.000000+0000,802.166
2023-05-08T04:44:31.000000+0000,802.571
2023-05-08T04:45:31.000000+0000,802.973
2023-05-08T04:46:31.000000+0000,803.374
2023-05-08T04:47:31.000000+0000,803.772
2023-05-08T04:48:31.000000+0000,804.168
2023-05-08T04:49:31.000000+0000,804.562
2023-05-08T04:50:31.000000+0000,804.954
2023-05-08T04:51:31.000000+0000,805.344
2023-05-08T04:52:31.000000+0000,805.731
2023-05-08T04:53:31.000000+0000,806.117
2023-05-08T04:54:31.000000+0000,806.501
2023-05-08T04:55:31.000000+0000,806.882
2023-05-08T04:56:31.000000+0000,807.262
2023-05-08T04:57:31.000000+0000,807.639
2023-05-08T04:58:31.000000+0000,808.015
2023-05-08T04:59:31.000000+0000,808.389
2023-05-08T05:00:31.000000+0000,808.445
2023-05-08T05:01:31.000000+0000,808.442
2023-05-08T05:02:31.000000+0000,808.699
2023-05-08T05:03:31.000000+0000,809.004
2023-05-08T05:04:31.000000+0000,809.324
2023-05-08T05:05:31.000000+0000,809.653
2023-05-08T05:06:31.000000+0000,809.986
2023-05-08T05:07:31.000000+0000,810.320
2023-05-08T05:08:31.000000+0000,810.657
2023-05-08T05:09:31.000000+0000,810.993
2023-05-08T05:10:31.000000+0000,811.330
2023-05-08T05:11:31.000000+0000,811.667
2023-05-08T05:12:31.000000+0000,812.003
2023-05-08T05:13:31.000000+0000,812.338
2023-05-08T05:14:31.000000+0000,812.673
2023-05-08T05:15:31.000000+0000,813.007
