"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.32548000000E+005,  0.14512285366E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32553000000E+005,  0.14515842930E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32578000000E+005,  0.14534362006E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32638000000E+005,  0.14579775985E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32698000000E+005,  0.14625494665E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32758000000E+005,  0.14671579940E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32818000000E+005,  0.14718407308E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32878000000E+005,  0.14766578101E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32938000000E+005,  0.14816882091E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32998000000E+005,  0.14870254794E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33058000000E+005,  0.14927725298E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33118000000E+005,  0.14990361026E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33178000000E+005,  0.15059216041E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33238000000E+005,  0.15135287386E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33298000000E+005,  0.15219481598E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33358000000E+005,  0.15312591750E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33418000000E+005,  0.15415284172E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33478000000E+005,  0.15528093370E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33538000000E+005,  0.15651423391E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33598000000E+005,  0.15785553949E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33658000000E+005,  0.15930649780E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33718000000E+005,  0.16086771941E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33778000000E+005,  0.16253890056E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33838000000E+005,  0.16431894747E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33898000000E+005,  0.16620609706E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33958000000E+005,  0.16819803043E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34018000000E+005,  0.17029197709E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34078000000E+005,  0.17248480856E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34138000000E+005,  0.17477312117E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34198000000E+005,  0.17715330819E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34258000000E+005,  0.17962162189E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34318000000E+005,  0.18217422619E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34378000000E+005,  0.18480724095E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34438000000E+005,  0.18751677864E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34498000000E+005,  0.19029897441E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34558000000E+005,  0.19315001046E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34618000000E+005,  0.19606613533E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34678000000E+005,  0.19904367909E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34738000000E+005,  0.20207906486E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34798000000E+005,  0.20516881736E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34858000000E+005,  0.20830956896E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34918000000E+005,  0.21149806366E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34978000000E+005,  0.21473115937E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35038000000E+005,  0.21800582882E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35098000000E+005,  0.22131915935E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35158000000E+005,  0.22466835187E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35218000000E+005,  0.22805071904E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35278000000E+005,  0.23146368301E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35338000000E+005,  0.23490477270E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35398000000E+005,  0.23837162081E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35458000000E+005,  0.24186196062E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35518000000E+005,  0.24537362269E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35578000000E+005,  0.24890453141E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35638000000E+005,  0.25245270158E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35698000000E+005,  0.25601623501E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35758000000E+005,  0.25959331710E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35818000000E+005,  0.26318221352E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35878000000E+005,  0.26678126698E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35938000000E+005,  0.27038889402E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35998000000E+005,  0.27400358200E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36058000000E+005,  0.27762388402E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36118000000E+005,  0.28124840960E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36178000000E+005,  0.28487581137E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36238000000E+005,  0.28850477073E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36298000000E+005,  0.29213398657E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36358000000E+005,  0.29576216939E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36418000000E+005,  0.29938804158E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36478000000E+005,  0.30301034272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36538000000E+005,  0.30662783831E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
