UTC,downhole pressure [kPa],CO2 partial pressure [kPa],pH
04/04/2023 15:06:55.950,77.64,0.107247851625695,7.1402
04/04/2023 17:01:17.150,77.64,0.130130154632882,7.1402
04/06/2023 07:30:32.580,77.64,1.16648193506952,7.1402
04/06/2023 12:53:58.350,77.64,0.650427917679089,7.1402
04/07/2023 13:22:03.290,77.64,1.44726426076653,7.1402
04/08/2023 13:50:08.070,77.64,1.24550626946956,7.1402
04/09/2023 14:18:12.730,77.64,1.78596489737513,7.1402
04/10/2023 14:46:17.830,77.64,1.70220258342807,7.1402
04/11/2023 15:14:22.980,77.64,1.85562467795359,7.1402
04/12/2023 15:42:28.350,77.64,1.86000059628923,7.1402
04/13/2023 16:10:34.090,77.64,2.12167114858522,7.1402
04/14/2023 16:38:40.270,77.64,2.21338592390592,7.1402
04/15/2023 17:06:46.540,77.64,2.19925527372804,7.1402
04/16/2023 17:34:53.000,77.64,2.20557461952532,7.1402
04/17/2023 18:02:59.760,77.64,2.10816087993211,7.1402
04/18/2023 18:31:06.740,77.64,1.98762897226219,7.1402
04/19/2023 18:59:14.020,77.64,2.09251917523279,7.1402
04/20/2023 19:27:18.750,77.64,2.0259697497551,7.1402
04/21/2023 19:55:22.720,77.64,2.0826362341428,7.1402
04/22/2023 20:23:30.300,77.64,2.11763146971902,7.1402
04/23/2023 20:51:38.040,77.64,2.07861245415086,7.1402
04/24/2023 21:19:46.060,77.64,2.25762957095027,7.1402
04/25/2023 21:47:54.430,77.64,2.22183404007599,7.1402
04/26/2023 22:16:03.270,77.64,2.12488572600246,7.1402
04/27/2023 22:44:11.870,77.64,2.11508584661438,7.1402
05/02/2023 20:54:53.340,78.32,2.20548902191267,7.1417
05/02/2023 21:12:18.760,78.03,2.14964641904354,7.1416
05/03/2023 05:30:54.340,78.12,2.13691190062085,7.142
05/03/2023 16:22:26.660,77.26,2.98661046207646,7.142
05/04/2023 12:44:42.970,297.37,2.53297470411257,7.1415
05/04/2023 13:21:01.210,296.79,2.32895525476919,7.1414
05/04/2023 13:57:18.990,296.98,2.40578032235032,7.1457
05/04/2023 14:53:21.390,296.21,3.3359129499285,7.1421
05/04/2023 15:29:40.410,296.69,3.20936578617487,7.1401
05/04/2023 16:05:59.500,297.37,3.2582527094316,7.1398
