"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.32548000000E+005,  0.62358857885E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32553000000E+005,  0.50723163033E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32578000000E+005,  0.47123757998E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32638000000E+005,  0.49158792335E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32698000000E+005,  0.50279812024E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32758000000E+005,  0.51394989111E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32818000000E+005,  0.52286421552E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32878000000E+005,  0.53021364122E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32938000000E+005,  0.53646843479E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.32998000000E+005,  0.54189574874E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33058000000E+005,  0.54669173287E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33118000000E+005,  0.55098207403E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33178000000E+005,  0.55485740342E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33238000000E+005,  0.55838524997E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33298000000E+005,  0.56161746429E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33358000000E+005,  0.56459384099E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33418000000E+005,  0.56734878096E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33478000000E+005,  0.56990719653E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33538000000E+005,  0.57229106933E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33598000000E+005,  0.57451773371E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33658000000E+005,  0.57660233753E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33718000000E+005,  0.57855792165E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33778000000E+005,  0.58039580370E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33838000000E+005,  0.58212589201E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33898000000E+005,  0.58375693041E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.33958000000E+005,  0.58529668925E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34018000000E+005,  0.58675211580E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34078000000E+005,  0.58812945430E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34138000000E+005,  0.58943434250E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34198000000E+005,  0.59067189064E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34258000000E+005,  0.59184674647E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34318000000E+005,  0.59296314958E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34378000000E+005,  0.59402497717E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34438000000E+005,  0.59503578124E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34498000000E+005,  0.59599882087E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34558000000E+005,  0.59691710427E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34618000000E+005,  0.59779340002E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34678000000E+005,  0.59863026197E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34738000000E+005,  0.59943004835E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34798000000E+005,  0.60019494277E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34858000000E+005,  0.60092696620E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34918000000E+005,  0.60162799691E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.34978000000E+005,  0.60229977352E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35038000000E+005,  0.60294391400E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35098000000E+005,  0.60356191658E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35158000000E+005,  0.60415518869E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35218000000E+005,  0.60472502889E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35278000000E+005,  0.60527265817E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35338000000E+005,  0.60579921203E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35398000000E+005,  0.60630574637E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35458000000E+005,  0.60679326057E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35518000000E+005,  0.60726268106E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35578000000E+005,  0.60771487881E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35638000000E+005,  0.60815066963E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35698000000E+005,  0.60857081893E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35758000000E+005,  0.60897604400E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35818000000E+005,  0.60936702363E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35878000000E+005,  0.60974438614E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35938000000E+005,  0.61010873681E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.35998000000E+005,  0.61046063372E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36058000000E+005,  0.60291587069E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36118000000E+005,  0.60191863919E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36178000000E+005,  0.60171123734E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36238000000E+005,  0.60169278475E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36298000000E+005,  0.60175375319E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36358000000E+005,  0.60185485790E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36418000000E+005,  0.60197830110E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36478000000E+005,  0.60211498366E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36538000000E+005,  0.60225897059E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36598000000E+005,  0.60240677609E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36658000000E+005,  0.60255749691E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36718000000E+005,  0.60270941128E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36778000000E+005,  0.60286140512E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36838000000E+005,  0.60301245837E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36898000000E+005,  0.60316213368E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.36958000000E+005,  0.60331003967E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37018000000E+005,  0.60345589877E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37078000000E+005,  0.60359944609E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37138000000E+005,  0.60374048086E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37198000000E+005,  0.60387895852E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37258000000E+005,  0.60401478425E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37318000000E+005,  0.60414782143E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37378000000E+005,  0.60427811437E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37438000000E+005,  0.60213751400E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37498000000E+005,  0.60678648232E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37558000000E+005,  0.61293013447E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37618000000E+005,  0.61401580244E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37678000000E+005,  0.61460498455E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37738000000E+005,  0.61502651191E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37798000000E+005,  0.61536590048E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37858000000E+005,  0.61565639350E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37918000000E+005,  0.61591396827E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.37978000000E+005,  0.61614749918E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38038000000E+005,  0.61636240487E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38098000000E+005,  0.61656225358E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38158000000E+005,  0.61674952518E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38218000000E+005,  0.61692601999E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38278000000E+005,  0.61709309696E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38338000000E+005,  0.61725180863E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38398000000E+005,  0.61740299074E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38458000000E+005,  0.61754732842E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38518000000E+005,  0.61768539007E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38578000000E+005,  0.61781765920E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38638000000E+005,  0.61794454934E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38698000000E+005,  0.61806642141E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38758000000E+005,  0.61818359294E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38818000000E+005,  0.61829634672E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38878000000E+005,  0.61840493673E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38938000000E+005,  0.61850959282E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.38998000000E+005,  0.61861052442E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39058000000E+005,  0.61870792340E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39118000000E+005,  0.61880196641E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39178000000E+005,  0.61889281671E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39238000000E+005,  0.61898062580E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39298000000E+005,  0.61906553264E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39358000000E+005,  0.61914766967E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39418000000E+005,  0.61922716043E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39478000000E+005,  0.61930412048E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39538000000E+005,  0.61937865835E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39598000000E+005,  0.61945087602E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39658000000E+005,  0.61952086791E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39718000000E+005,  0.61958872502E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39778000000E+005,  0.61965453353E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39838000000E+005,  0.61971837471E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39898000000E+005,  0.61978032543E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.39958000000E+005,  0.61984045847E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.40018000000E+005,  0.61989884289E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.40078000000E+005,  0.61995554355E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.40138000000E+005,  0.62001062302E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.40198000000E+005,  0.62006414075E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.40258000000E+005,  0.62011615347E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.40318000000E+005,  0.62016671514E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.40378000000E+005,  0.62021587721E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
